Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Number of Positions","Index Stops","Number of Decks","Number of Poles per Deck","Circuit per Deck","Contact Timing","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Angle of Throw","Contact Material","Contact Finish","Mounting Type","Termination Style","Features","Depth Behind Panel"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825537&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1825537-2.jpg,450-1806-ND,MRJE2604,TE Connectivity ALCOSWITCH Switches,SWITCH ROTARY 6POS 0.4VA 20V,104,0,"32.23000","0","1","MRJ","Active","6","Fixed","1","2","DP6T","Non-Shorting (BBM)","0.4VA (AC/DC)","20V","20V","Round (3.17mm Dia), Slotted","19.00mm","30°","Nickel","Gold","Panel Mount, Through Hole","PC Pin","Epoxy Sealed Terminals","8.13mm"
"http://www.grayhill.com/assets/1/7/Rotary_42,43,44,54.pdf",//media.digikey.com/Photos/Grayhill%20Photos/44D30-01-1-AJN.jpg,GH4401-ND,44D30-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-12POS 1A 115V,119,12,"45.12000","0","1","44","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","1A (AC/DC)","115V","28V","Flatted (6.35mm Dia)","11.10mm","30°","Silver Alloy","-","Panel Mount","Solder Lug","-","26.04mm"
-,//media.digikey.com/Photos/E-Switch%20Photos/KC15B02NPFB31.5MM.JPG,KC15B02NPFB31.5MM-ND,KC15B02NPFB31.5MM,E-Switch,SWITCH ROTARY 5POS 350MA 125V,521,0,"7.94000","0","1","KC","Active","5","Fixed","1","1","SP5T","Non-Shorting (BBM)","350mA (AC)","125V","-","Round (6mm Dia), Slotted","23.50mm","30°","Copper Alloy","Gold","Panel Mount, Through Hole","PC Pin","-","14.10mm"
http://spec_sheets.e-switch.com/specs/G510253.pdf,//media.digikey.com/photos/E-Switch%20Photos/KC-52-B-10.0-01-N-P-S.JPG,EG5138-ND,KC52B10.001NPS,E-Switch,SWITCH ROTARY 12POS 350MA 125V,408,0,"8.65000","0","1","KC","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","350mA (AC)","125V","-","Round (6mm Dia)","10.00mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825536&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MRJB4304.JPG,450-1851-ND,MRJB4304,TE Connectivity ALCOSWITCH Switches,SWITCH ROTARY 3POS 0.4VA 20V,158,0,"26.66000","0","1","MRJ","Active","3","Fixed","1","4","4P3T","Non-Shorting (BBM)","0.4VA (AC/DC)","20V","20V","Screwdriver Slot","1.02mm","30°","Nickel","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals","7.62mm"
https://www.ckswitches.com/media/1351/r.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/R10307RR02Q.jpg,CKN11908-ND,R10307RR02Q,C&K,SWITCH ROTARY 3POS 5A 125V,141,0,"4.06000","0","1","R","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","5A (AC), 500mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","36°","Copper","Silver","Panel Mount, Through Hole","PC Pin","-","10.29mm"
http://spec_sheets.e-switch.com/specs/G510582.pdf,-,EG5866-ND,KC25A9.501NLS,E-Switch,SWITCH ROTARY 5POS 350MA 125V,1000,0,"6.06000","0","1","KC","Active","5","Fixed","1","2","DP5T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","9.50mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G527545.pdf,-,EG5865-ND,KC14A13.001NPS,E-Switch,SWITCH ROTARY 4POS 350MA 125V,450,0,"6.06000","0","1","KC","Active","4","Fixed","1","1","SP4T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","13.00mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
https://www.ckswitches.com/media/1354/rta.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RTAP31S12M25NS.jpg,CKN12167-ND,RTAP31S12M25NS,C&K,SWITCH ROTARY 12POS 150MA 60V,476,0,"7.54000","0","1","RTA","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","150mA (AC/DC)","60V","60V","Round (6mm Dia), Slotted","25.00mm","30°","Brass","Silver","Panel Mount, Through Hole","PC Pin","-","12.60mm"
http://spec_sheets.e-switch.com/specs/G511001.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC56A13.001NPF.jpg,KC56A13.001NPF-ND,KC56A13.001NPF,E-Switch,SWITCH ROTARY 3POS 350MA 125V,393,0,"7.58000","0","1","KC","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","13.00mm","90°","Copper Alloy","Gold","Panel Mount, Through Hole","PC Pin","-","14.20mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A11203RNMCQ.JPG,CKN10990-ND,A11203RNMCQ,C&K,SWITCH ROTARY 12POS 2.5A 125V,584,0,"7.80000","0","1","A","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","Modular Base","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A205S1MNCQ.jpg,CKN11466-ND,A205S1MNCQ,C&K,SWITCH ROTARY 5POS 2.5A 125V,251,0,"8.01000","0","1","A","Active","5","Fixed","1","2","DP5T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Screwdriver Slot","Flush","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A40303RNCQ.JPG,CKN10941-ND,A40303RNCQ,C&K,SWITCH ROTARY 3POS 2.5A 125V,218,0,"9.29000","0","1","A","Active","3","Fixed","1","4","4P3T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A20505RNCQK.JPG,CKN11020-ND,A20505RNCQK,C&K,SWITCH ROTARY 5POS 2.5A 125V,105,0,"10.18000","0","1","A","Active","5","Fixed","1","2","DP5T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","Epoxy Sealed Terminals, Splashproof Bushing Seal","14.48mm"
http://www.nkkswitches.com/pdf/NR01%20Rotaries.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_NR0110xANG13-2A.jpg,360-3633-ND,NR01104ANG13-2A,NKK Switches,SWITCH ROTARY SP4T 0.4VA 28V,384,0,"10.88000","0","1","NR01","Active","4","Fixed","1","1","SP4T","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Knob","10.80mm","45°","Beryllium Copper","Gold","Through Hole","PC Pin","-","10.50mm"
http://www.nkkswitches.com/pdf/NR01%20Rotaries.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_NR0110xANG13-2H.JPG,360-3629-ND,NR01103ANG13-2H,NKK Switches,SWITCH ROTARY SP3T 0.4VA 28V,104,0,"10.88000","0","1","NR01","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Knob","10.80mm","45°","Beryllium Copper","Gold","Through Hole","PC Pin","-","10.50mm"
https://www.nkkswitches.com/pdf/mrb-1.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_MRB12B_RO.jpg,360-3940-ND,MRB12B,NKK Switches,SWITCH ROTARY 2POS 0.4VA 28V,161,30,"11.25000","0","1","MRB","Active","2","Fixed","1","1","SPDT","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Flatted (3.17mm Dia)","10.00mm","90°","Beryllium Copper","Gold","Panel Mount, Through Hole","PC Pin","Sealed - Fully","11.00mm"
https://www.ckswitches.com/media/1354/rta.pdf,-,CKN11910-ND,RTAP4ES03M25NS,C&K,SWITCH ROTARY 3POS 150MA 60V,468,0,"11.43000","0","1","RTA","Active","3","Fixed","1","-","BCD with Complement","Non-Shorting (BBM)","150mA (AC/DC)","60V","60V","Round (6mm Dia), Slotted","25.00mm","36°","Brass","Silver","Panel Mount, Through Hole","PC Pin","-","12.60mm"
https://www.nkkswitches.com/pdf/MRlogicLevel.pdf,-,360-3760-ND,MRK112,NKK Switches,SWITCH ROTARY 2-12POS 0.4VA 28V,206,908,"11.59000","0","1","MR","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Flatted (3.17mm Dia)","10.00mm","30°","Phosphor Bronze","Gold","Panel Mount, Through Hole","PC Pin","Process Sealed","10.10mm"
https://www.nkkswitches.com/pdf/MRlogicLevel.pdf,-,360-3810-ND,MRK206,NKK Switches,SWITCH ROTARY 2-6POS 0.4VA 28V,396,1549,"11.87000","0","1","MR","Active","2 ~ 6","Adjustable","1","2","DP6T","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Flatted (3.17mm Dia)","10.00mm","30°","Phosphor Bronze","Gold","Panel Mount, Through Hole","PC Pin","Process Sealed","10.10mm"
http://www.grayhill.com/assets/1/7/Series_77_datasheet.pdf,//media.digikey.com/Photos/Grayhill%20Photos/77SPT36-01-2-05N.jpg,GH7891-ND,77SPT36-01-2-04N,Grayhill Inc.,SWITCH ROTARY 4POS 50MA 115V,216,0,"41.26000","0","1","77","Active","4","Fixed","1","2","DP4T","Non-Shorting (BBM)","50mA (AC), 200mA (DC)","115V","28V","Flatted (3.17mm Dia)","7.98mm","36°","Silver Cadmium Oxide (AgCdO)","Gold","Panel Mount, Through Hole","PC Pin","Shaft and Panel Sealed","4.57mm"
https://www.e-switch.com/system/asset/product_line/data_sheet/105/KC.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC43A13.001NLS.jpg,KC43A13.001NLS-ND,KC43A13.001NLS,E-Switch,SWITCH ROTARY 3POS 350MA 125V,915,0,"6.06000","0","1","KC","Active","3","Fixed","1","4","4P3T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","13.00mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G530162.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC14A30.001NPS.jpg,KC14A30.001NPS-ND,KC14A30.001NPS,E-Switch,SWITCH ROTARY 4POS 350MA 125V,610,0,"6.06000","0","1","KC","Active","4","Fixed","1","1","SP4T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","30.00mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
http://spec_sheets.e-switch.com/specs/G510888.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC14A13.001NLS.JPG,KC14A13.001NLS-ND,KC14A13.001NLS,E-Switch,SWITCH ROTARY 4POS 350MA 125V,400,0,"6.06000","0","1","KC","Active","4","Fixed","1","1","SP4T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","13.00mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G510999.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC56B10.002NLS.jpg,KC56B10.002NLS-ND,KC56B10.002NLS,E-Switch,SWITCH ROTARY 3POS 350MA 125V,267,0,"6.06000","0","1","KC","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","350mA (AC)","125V","-","Round (6mm Dia)","10.00mm","90°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G510603.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC13B10.001NPF.jpg,KC13B10.001NPF-ND,KC13B10.001NPF,E-Switch,SWITCH ROTARY 3POS 350MA 125V,252,0,"7.58000","0","1","KC","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","350mA (AC)","125V","-","Round (6mm Dia)","10.00mm","30°","Copper Alloy","Gold","Panel Mount, Through Hole","PC Pin","-","14.20mm"
http://spec_sheets.e-switch.com/specs/G510589.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC34B7.001NLS.jpg,KC34B7.001NLS-ND,KC34B7.001NLS,E-Switch,SWITCH ROTARY 4POS 350MA 125V,428,0,"8.65000","0","1","KC","Active","4","Fixed","1","3","3P4T","Non-Shorting (BBM)","350mA (AC)","125V","-","Round (6mm Dia)","7.00mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G510261.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC34A9.501NPS.jpg,KC34A9.501NPS-ND,KC34A9.501NPS,E-Switch,SWITCH ROTARY 4POS 350MA 125V,274,0,"8.65000","0","1","KC","Active","4","Fixed","1","3","3P4T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","9.50mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
https://www.e-switch.com/system/asset/product_line/data_sheet/105/KC.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC34A13.001NPS.JPG,KC34A13.001NPS-ND,KC34A13.001NPS,E-Switch,SWITCH ROTARY 4POS 350MA 125V,146,0,"8.65000","0","1","KC","Active","4","Fixed","1","3","3P4T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","13.00mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
http://spec_sheets.e-switch.com/specs/G510583.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC10A30.001NLS.jpg,KC10A30.001NLS-ND,KC10A30.001NLS,E-Switch,SWITCH ROTARY 12POS 350MA 125V,120,0,"8.65000","0","1","KC","Active","12","Continuous","1","1","SP12T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","30.00mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G510359.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC34B30.001NPF.jpg,KC34B30.001NPF-ND,KC34B30.001NPF,E-Switch,SWITCH ROTARY 4POS 350MA 125V,224,0,"10.37000","0","1","KC","Active","4","Fixed","1","3","3P4T","Non-Shorting (BBM)","350mA (AC)","125V","-","Round (6mm Dia)","30.00mm","30°","Copper Alloy","Gold","Panel Mount, Through Hole","PC Pin","-","14.20mm"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825535&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MRJ11204.jpg,MRJ11204-ND,MRJ11204,TE Connectivity ALCOSWITCH Switches,SWITCH ROTARY 2-12POS 0.4VA 20V,891,0,"34.56000","0","1","MRJ","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","0.4VA (AC/DC)","20V","20V","Round (3.17mm Dia), Slotted","19.00mm","30°","Nickel","Gold","Panel Mount, Through Hole","PC Pin","Epoxy Sealed Terminals","11.20mm"
https://www.ckswitches.com/media/1910/rm.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RM107772BCB.JPG,CKN10705-ND,RM107772BCB,C&K,SWITCH ROTARY 7POS 500MA 24V,558,0,"2.27000","0","1","RM","Active","7","Fixed","1","1","SP7T","Non-Shorting (BBM)","500mA (DC)","-","24V","Flatted (4.2mm Dia), Slotted","7.70mm","45°","Brass","Gold","Through Hole","PC Pin","-","7.37mm"
https://www.ckswitches.com/media/1910/rm.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RM100772BCB.JPG,CKN10691-ND,RM100772BCB,C&K,SWITCH ROTARY 8POS 500MA 24V,496,0,"2.27000","0","1","RM","Active","8","Continuous","1","1","SP7T","Non-Shorting (BBM)","500mA (DC)","-","24V","Flatted (4.2mm Dia), Slotted","7.70mm","45°","Brass","Gold","Through Hole","PC Pin","-","7.37mm"
https://www.ckswitches.com/media/1910/rm.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RM103772BCB.JPG,CKN10697-ND,RM103772BCB,C&K,SWITCH ROTARY 3POS 500MA 24V,458,0,"2.27000","0","1","RM","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","500mA (DC)","-","24V","Flatted (4.2mm Dia), Slotted","7.70mm","45°","Brass","Gold","Through Hole","PC Pin","-","7.37mm"
https://www.ckswitches.com/media/1910/rm.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RM104772BCB.JPG,CKN10699-ND,RM104772BCB,C&K,SWITCH ROTARY 4POS 500MA 24V,417,0,"2.27000","0","1","RM","Active","4","Fixed","1","1","SP4T","Non-Shorting (BBM)","500mA (DC)","-","24V","Flatted (4.2mm Dia), Slotted","7.70mm","45°","Brass","Gold","Through Hole","PC Pin","-","7.37mm"
https://www.ckswitches.com/media/1910/rm.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RM106772BCB.JPG,CKN10703-ND,RM106772BCB,C&K,SWITCH ROTARY 6POS 500MA 24V,222,0,"2.27000","0","1","RM","Active","6","Fixed","1","1","SP6T","Non-Shorting (BBM)","500mA (DC)","-","24V","Flatted (4.2mm Dia), Slotted","7.70mm","45°","Brass","Gold","Through Hole","PC Pin","-","7.37mm"
https://www.ckswitches.com/media/1348/frotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/F20308RS02Q.jpg,CKN11018-ND,F20308RS02Q,C&K,SWITCH ROTARY 3POS 4A 125V,48,0,"4.87000","0","1","F","Active","3","Fixed","1","2","DP3T","Not Specified","4A (AC/DC)","125V","28V","Flatted (4.75mm Dia)","14.86mm","45°","Copper","Silver","Panel Mount, Through Hole","PC Pin","-","12.45mm"
https://www.ckswitches.com/media/1350/h.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/H20307RR05Q.JPG,CKN10958-ND,H20307RR05Q,C&K,SWITCH ROTARY 3POS 12A 125V,42,0,"5.08000","0","1","H","Active","3","Fixed","1","2","DP3T","Not Specified","12A (AC), 1A (DC)","125V","125V","Flatted (6.35mm Dia)","7.29mm","45°","Copper","Silver","Panel Mount","Quick Connect - 0.110"" (2.8mm)","-","15.25mm"
https://www.ckswitches.com/media/1351/r.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/R20407RR03Q.JPG,CKN9482-ND,R20407RR03Q,C&K,SWITCH ROTARY 4POS 5A 125V,84,0,"5.21000","0","1","R","Active","4","Fixed","1","2","DP4T","Non-Shorting (BBM)","5A (AC), 500mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","36°","Copper","Silver","Panel Mount","Solder Lug","-","14.61mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A20403RNZQ.JPG,CKN10614-ND,A10405RNZQ,C&K,SWITCH ROTARY 4POS 2.5A 125V,80,0,"5.56000","0","1","A","Active","4","Fixed","1","1","SP4T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A10605RNCQ.JPG,CKN10615-ND,A10605RNCQ,C&K,SWITCH ROTARY 6POS 2.5A 125V,55,0,"6.02000","0","1","A","Active","6","Fixed","1","1","SP6T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A10605RNZQ.JPG,CKN11051-ND,A10605RNZQ,C&K,SWITCH ROTARY 6POS 2.5A 125V,35,0,"6.02000","0","1","A","Active","6","Fixed","1","1","SP6T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A11003RNCQ.JPG,CKN11286-ND,A11003RNCQ,C&K,SWITCH ROTARY 10POS 2.5A 125V,54,0,"6.59000","0","1","A","Active","10","Fixed","1","1","SP10T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A11215RNZQ.jpg,CKC7002-ND,A11215RNZQ,C&K,SWITCH ROTARY 12POS 2.5A 125V,87,0,"6.66000","0","1","A","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","38.10mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A20305RNZQ.JPG,CKN11067-ND,A20305RNZQ,C&K,SWITCH ROTARY 3POS 2.5A 125V,58,0,"6.66000","0","1","A","Active","3","Fixed","1","2","DP3T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A10705RNZQF.JPG,CKN10616-ND,A10705RNZQF,C&K,SWITCH ROTARY 7POS 2.5A 125V,35,0,"6.66000","0","1","A","Active","7","Fixed","1","1","SP7T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","Splashproof Bushing Seal","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A11203RNZQ.jpg,CKN10201-ND,A11203RNZQ,C&K,SWITCH ROTARY 12POS 2.5A 125V,71,0,"6.99000","0","1","A","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A20603RNZQ.JPG,CKN10987-ND,A20603RNZQ,C&K,SWITCH ROTARY 6POS 2.5A 125V,94,0,"7.38000","0","1","A","Active","6","Fixed","1","2","DP6T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.nkkswitches.com/pdf/hs_ps_ts.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_HS13X.jpg,360-2808-ND,HS13X,NKK Switches,SWITCH ROTARY 2POS 6A 125V,75,73,"7.54000","0","1","HS","Active","2","Fixed","1","1","SPDT","Non-Shorting (BBM)","6A (AC), 5A (DC)","125V","30V","Round (6mm Dia)","10.00mm","45°","Phosphor Bronze","-","Panel Mount","Solder Lug","-","20.00mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A40315RNZQ.jpg,CKC7008-ND,A40315RNZQ,C&K,SWITCH ROTARY 3POS 2.5A 125V,63,0,"8.98000","0","1","A","Active","3","Fixed","1","4","4P3T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","38.10mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A40305RNZQ.JPG,CKN10626-ND,A40305RNZQ,C&K,SWITCH ROTARY 3POS 2.5A 125V,76,0,"9.30000","0","1","A","Active","3","Fixed","1","4","4P3T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
http://spec_sheets.e-switch.com/specs/G510346.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC52A10.001NPF.JPG,KC52E01NPF-ND,KC52A10.001NPF,E-Switch,SWITCH ROTARY 12POS 350MA 125V,34,0,"10.37000","0","1","KC","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","10.00mm","30°","Copper Alloy","Gold","Panel Mount, Through Hole","PC Pin","-","14.20mm"
https://www.ckswitches.com/media/1353/m.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/MA00L1NCQD.jpg,CKN6044-ND,MA00L1NCQD,C&K,SWITCH ROTARY 10POS 250MA 125V,58,0,"12.91000","0","1","M","Active","10","Continuous","1","1","SP10T","Non-Shorting (BBM)","250mA (AC/DC)","125V","28V","Flatted (3.17mm Dia)","10.16mm","36°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","10.42mm"
http://www.grayhill.com/assets/1/7/Rotary_56.pdf,//media.digikey.com/Photos/Grayhill%20Photos/56SD36-01-1-AJN.jpg,GH7690-ND,56SD36-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-10POS 200MA 115V,69,0,"14.49000","0","1","56","Active","2 ~ 10","Adjustable","1","1","SP10T","Non-Shorting (BBM)","200mA (AC/DC)","115V","30V","Flatted (3.17mm Dia)","9.53mm","36°","Brass","Silver","Panel Mount","Solder Lug","Shaft and Panel Sealed","12.19mm"
"http://www.grayhill.com/assets/1/7/Rotary_50,51.pdf",//media.digikey.com/photos/Grayhill%20Photos/50A60-01-1-05N.JPG,GH7683-ND,50A60-01-1-05N,Grayhill Inc.,SWITCH ROTARY 5POS 150MA 115V,93,0,"15.97000","0","1","50","Active","5","Fixed","1","1","SP5T","Non-Shorting (BBM)","150mA (AC), 200mA (DC)","115V","28V","Flatted (3.17mm Dia)","9.53mm","60°","-","Gold","Panel Mount","Solder Lug","-","18.77mm"
