Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Circuit","Number of Positions","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Mounting Type","Termination Style","Panel Cutout Dimensions","Ingress Protection","Features","Operating Temperature"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NW-3RM-TGA-G101-GC.JPG,Z6203-ND,A22NW-3RM-TGA-G101-GC,Omron Automation and Safety,SWITCH SELECT 3POS DPST-NO 10A,9,0,"27.88000","0","1","A22NW","Active","Standard","DPST-NO","3","On-Off-Off, Off-Off-On","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Green","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Green Knob","-25°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A165S-A2A-1.jpg,Z1364-ND,A165S-A2A-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,3,0,"39.69000","0","1","A165S","Active","Standard","SPDT","2","On-Mom","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Square","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A165S-A2M-1.jpg,Z1363-ND,A165S-A2M-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,0,0,"39.69000","0","1","A165S","Active","Standard","SPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Square","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A165W-T2MG-24D-1.jpg,Z1393-ND,A165W-T2MG-24D-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,4,0,"48.51000","0","1","A165W","Active","Standard","SPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Green","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A165W-A2MG-24D-1.jpg,Z1369-ND,A165W-A2MG-24D-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,2,0,"48.51000","0","1","A165W","Active","Standard","SPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Green","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Square","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165W-T3MR-24D-2.jpg,Z1397-ND,A165W-T3MR-24D-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,4,0,"51.82000","0","1","A165W","Active","Standard","DPDT","3","On-On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Red","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165W-A3MR-24D-2.jpg,Z1373-ND,A165W-A3MR-24D-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,2,0,"51.82000","0","1","A165W","Active","Standard","DPDT","3","On-On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Red","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Square","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A165W-A2MR-24D-1.jpg,Z1370-ND,A165W-A2MR-24D-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,4,0,"48.51000","0","1","A165W","Active","Standard","SPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Red","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Square","-10°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,Z8305-ND,A22NS-2RM-NBA-G002-NN,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NC 10A,6,0,"12.88000","0","1","A22NS","Active","Standard","SPST-NC","2","On-Off","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NS-2BM-NBA-G101-NN.jpg,Z11149-ND,A22NS-2BM-NBA-G101-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NO 10A,0,0,"15.71000","0","1","A22NS","Active","Standard","DPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NS2BMNAAG101NN.JPG,Z6957-ND,A22NS-2BM-NAA-G101-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NO 10A,23,0,"15.92000","0","1","A22NS","Active","Standard","DPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Blue Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NS-3BB-NBA-G102-NN.JPG,Z8304-ND,A22NS-2BL-NBA-G102-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST 10A 120V,10,0,"16.89000","0","1","A22NS","Active","Standard","DPST-NO/NC","2","On-Mom, Off-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,Z6769-ND,A22NS-2RM-NBA-G202-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NC 10A,23,0,"17.72000","0","1","A22NS","Active","Standard","DPST-NC","2","On-Off","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,Z8306-ND,A22NS-2RM-NBA-G101-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NO 10A,17,0,"17.72000","0","1","A22NS","Active","Standard","DPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,Z6770-ND,A22NS-3BB-NBA-G101-NN,Omron Automation and Safety,SWITCH SELECT 3POS DPST-NO 10A,7,0,"18.07000","0","1","A22NS","Active","Standard","DPST-NO","3","Mom-Off-Mom, Mom-Off-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NS-3BM-NRA-G120-NN.jpg,Z8889-ND,A22NS-3BM-NRA-G120-NN,Omron Automation and Safety,SWITCH SELECT 3POS DPST 10A 120V,7,0,"18.07000","0","1","A22NS","Active","Standard","DPST-NO","3","On-Off-Off, Off-On-Off","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Red Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,Z8890-ND,A22NS-3BR-NRA-G102-NN,Omron Automation and Safety,SWITCH SELECT 3POS DPST 10A 120V,5,0,"18.54000","0","1","A22NS","Active","Standard","DPST-NO/NC","3","Mom-Off-Off, Mom-On-Off","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Red Knob","-25°C ~ 70°C"
http://us.idec.com/Common/Download.aspx?d=145200,//media.digikey.com/Photos/IDEC/MFG_ASW3L20.jpg,1885-1499-ND,ASW3L20,IDEC,22MM SELECTOR SWITCH,4,0,"23.92000","0","1","TW","Active","Standard","DPST-NO","3","On-Off-Off, Off-Off-On","10A (AC), 8A (DC)","110V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Long Lever","-25°C ~ 50°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NW-3RB-TAA-G102-AC.jpg,Z8307-ND,A22NW-2RM-TAA-G102-AA,Omron Automation and Safety,SWITCH SELECT 2POS DPST 10A 120V,4,0,"25.17000","0","1","A22NW","Active","Standard","DPST-NO/NC","2","On-Off, Off-On","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Blue","6 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Blue Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,Z8308-ND,A22NW-2RM-TWA-G101-WC,Omron Automation and Safety,PSHBTN METAL BZL 2 NO,4,0,"27.04000","0","1","A22NW","Active","Standard","DPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, White","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, White Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,Z8309-ND,A22NW-3MB-TGA-G102-GC,Omron Automation and Safety,SWITCH SELECT 3POS DPST 10A 120V,4,0,"27.88000","0","1","A22NW","Active","Standard","DPST-NO/NC","3","Mom-Off-Mom, Mom-On-Mom","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Green","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Green Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NW-3MM-TGA-G102-GD.jpg,Z8310-ND,A22NW-3MM-TGA-G102-GD,Omron Automation and Safety,SWITCH SELECT 3POS DPST 10A 120V,3,0,"33.34000","0","1","A22NW","Active","Standard","DPST-NO/NC","3","On-Off-Off, On-On-Off","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Green","100 ~ 120 VAC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Green Knob","-25°C ~ 55°C"
https://eao.com/fileadmin/documents/PDFs/en/01_main-catalogue/EAO_MC_14_Main-Catalogue_EN.pdf,//media.digikey.com/Photos/EAO/14-506.0250.jpg,1948-1247-ND,14-506.0250,EAO,SELECTOR SWITCH 2 POSITIONS MAIN,4,0,"36.40000","0","1","14","Active","Standard","DPST-NO/NC","2","On-Off, Off-On","5A (AC)","250V","-","Non-Illuminated","-","-","Panel Mount","Solder Lug","Circular - 22.30mm Dia","IP67 - Dust Tight, Waterproof","Bezel - Round, Black Knob","-25°C ~ 55°C"
http://us.idec.com/Common/Download.aspx?d=447459,//media.digikey.com/Photos/IDEC/LBW6S-xT6.JPG,1885-1902-ND,LBW6S-2T6,IDEC,LBW FLUSH SEL 2-POS MAIN.,3,0,"37.25000","0","1","LBW","Active","Standard","DPDT","2","On-On","5A (AC/DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 22.30mm Dia","IP65 - Dust Tight, Water Resistant","-","-25°C ~ 60°C"
-,//media.digikey.com/photos/EAO/45-1828.1c90.001.105.jpg,1948-1455-ND,45-1828.1C90.001.105,EAO,(45-1828.1C90.001.105) SELECTOR,5,0,"42.59000","0","1","45","Active","Standard","DPST-NO/NC","2","On-Off, Off-On","10A (AC/DC)","500V","500V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66/67/69K - Dust Tight, Water Resistant, Waterproof","-","-25°C ~ 70°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/Photos/Omron%20Auto/A165S-A3A-2.JPG,Z8884-ND,A165S-A3A-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,5,0,"43.00000","0","1","A165S","Active","Standard","DPDT","3","Mom-On-Mom","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Square","-10°C ~ 55°C"
-,//media.digikey.com/Photos/Omron%20Auto/A165S-J3A-2.jpg,Z8885-ND,A165S-J3A-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,4,0,"43.00000","0","1","A165S","Active","Standard","DPDT","3","Mom-On-Mom","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Rectangular","-10°C ~ 55°C"
-,//media.digikey.com/Photos/Omron%20Auto/A165S-T3A-2.JPG,Z8886-ND,A165S-T3A-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,3,0,"43.00000","0","1","A165S","Active","Standard","DPDT","3","Mom-On-Mom","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
https://eao.com/fileadmin/documents/PDFs/en/01_main-catalogue/EAO_MC_14_Main-Catalogue_EN.pdf,//media.digikey.com/Photos/EAO/K14-506.22200.jpg,1948-2478-ND,K14-506.22200,EAO,SELECTOR SWITCH 2-POS. FLAT MAIN,2,0,"44.87000","0","1","14","Active","Standard","DPST-NO/NC","2","Off-On","5A (AC)","250V","-","Non-Illuminated","-","-","Panel Mount","Solder Lug","Circular - 30.50mm Dia","IP67 - Dust Tight, Waterproof","-","-25°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A165W-A2MR-24D-1.jpg,Z1367-ND,A165W-A2AR-24D-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,5,0,"48.51000","0","1","A165W","Active","Standard","SPDT","2","On-Mom","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Red","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Square","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165W-T2AR-24D-1.jpg,Z1391-ND,A165W-T2AR-24D-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,5,0,"48.51000","0","1","A165W","Active","Standard","SPDT","2","On-Mom","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Red","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165W-A3MY-24D-2.JPG,Z1374-ND,A165W-A3MY-24D-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,5,0,"51.82000","0","1","A165W","Active","Standard","DPDT","3","On-On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Yellow","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Square","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,-,Z1384-ND,A165W-J3MG-24D-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,5,0,"51.82000","0","1","A165W","Active","Standard","DPDT","3","On-On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Green","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Rectangular","-10°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2BM-NBA-G002-NN-ND,A22NS-2BM-NBA-G002-NN,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NC 10A,0,0,"10.87000","0","1","A22NS","Active","Standard","SPST-NC","2","On-Off","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
https://www.carlingtech.com/sites/default/files/700_800-Series_Details_%26_COS.pdf,-,700-4A-BL-ND,700-4A-BL,Carling Technologies,SWITCH SELECT 3POS SPDT 4A 125V,0,0,"11.35800","0","20","700","Active","Standard","SPDT","3","Off-On-On","4A (AC), 1A (DC)","125V","125V","Non-Illuminated","-","-","Panel Mount","Quick Connect - 0.250"" (6.3mm)","Circular - 11.88mm Dia","-","Bezel - Round, Long Lever","-"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2RL-NBA-G002-NN-ND,A22NS-2RL-NBA-G002-NN,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NC 10A,0,0,"12.05000","0","1","A22NS","Active","Standard","SPST-NC","2","On-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2BL-NBA-G002-NN-ND,A22NS-2BL-NBA-G002-NN,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NC 10A,0,0,"12.05000","0","1","A22NS","Active","Standard","SPST-NC","2","On-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2ML-NBA-G002-NN-ND,A22NS-2ML-NBA-G002-NN,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NC 10A,0,0,"12.05000","0","1","A22NS","Active","Standard","SPST-NC","2","On-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2MM-NBA-G002-NN-ND,A22NS-2MM-NBA-G002-NN,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NC 10A,0,0,"12.05000","0","1","A22NS","Active","Standard","SPST-NC","2","On-Off","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2BM-NBA-G102-NN-ND,A22NS-2BM-NBA-G102-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST 10A 120V,0,0,"15.71000","0","1","A22NS","Active","Standard","DPST-NO/NC","2","On-Off, Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2BM-NBA-G202-NN-ND,A22NS-2BM-NBA-G202-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NC 10A,0,0,"15.71000","0","1","A22NS","Active","Standard","DPST-NC","2","On-Off","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2RL-NBA-G101-NN-ND,A22NS-2RL-NBA-G101-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NO 10A,0,0,"16.89000","0","1","A22NS","Active","Standard","DPST-NO","2","Off-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2RL-NBA-G102-NN-ND,A22NS-2RL-NBA-G102-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST 10A 120V,0,0,"16.89000","0","1","A22NS","Active","Standard","DPST-NO/NC","2","On-Mom, Off-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2RL-NBA-G202-NN-ND,A22NS-2RL-NBA-G202-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NC 10A,0,0,"16.89000","0","1","A22NS","Active","Standard","DPST-NC","2","On-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2BL-NBA-G101-NN-ND,A22NS-2BL-NBA-G101-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NO 10A,0,0,"16.89000","0","1","A22NS","Active","Standard","DPST-NO","2","Off-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2BL-NBA-G202-NN-ND,A22NS-2BL-NBA-G202-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NC 10A,0,0,"16.89000","0","1","A22NS","Active","Standard","DPST-NC","2","On-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2ML-NBA-G101-NN-ND,A22NS-2ML-NBA-G101-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NO 10A,0,0,"16.89000","0","1","A22NS","Active","Standard","DPST-NO","2","Off-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,A22NS-2ML-NBA-G102-NN-ND,A22NS-2ML-NBA-G102-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST 10A 120V,0,0,"16.89000","0","1","A22NS","Active","Standard","DPST-NO/NC","2","On-Mom, Off-Mom","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
