Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Temperature","Tip - Type","Workstand","Power (Watts)","Voltage - Input","Features","Includes","For Use With/Related Products"
https://www.hakkousa.com/files/index/download/id/15129/,//media.digikey.com/Photos/Hakko/MFG_FX-901.jpg,1691-1084-ND,FX-901/P,"American Hakko Products, Inc.",SOLDERING IRON 6W 6V 5W 4.8V,44,0,"32.07000","0","1","-","Active","Iron","600°F (315.6°C) (Max)","T11-B","Not Included","6W, 5W","6V, 4.8V","Cordless","-","-"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/MFG_WPS18MP.jpg,WPS18MP-ND,WPS18MP,Apex Tool Group,SOLDERING IRON 18W 120V,25,0,"37.70000","0","1","Weller®, Pro","Active","Iron","Up to 900°F (482°C)","-","Built In","18W","120V","LED Indicator, LED Light","-","-"
https://www.hakkousa.com/files/index/download/id/17514/,//media.digikey.com/photos/Hakko/FX1001-51.jpg,1691-1233-ND,FX1001-51,"American Hakko Products, Inc.","CONNECTOR ASSY,IH,SDRG,HANDPIECE",9,0,"84.97000","0","1","-","Active","Iron","Up to 842°F (450°C)","Not Included","Not Included","50W","-","-","Cord","FX-100"
-,//media.digikey.com/Photos/Hakko/MFG_FM2024-02.jpg,1691-1048-ND,FM2024-02,"American Hakko Products, Inc.",DESOLDERING TOOL,9,0,"173.67000","0","1","-","Active","Tool, Desoldering","-","Not Included","Not Included","-","-","Disposable Filter Pipe, ESD Safe, Modular, Tip Locks","Filter, Grip","FM-203, FM-202, FP-102"
https://www.hakkousa.com/files/index/download/id/16245/,//media.digikey.com/Photos/Hakko/MFG_FM2029-01_cmyk.jpg,1691-1053-ND,FM2029-01,"American Hakko Products, Inc.",DESOLDERING TOOL 140W 24V,3,0,"303.37000","0","1","-","Active","Tool, Desoldering","212°F ~ 1022°F (100°C ~ 550°C)","Not Included","C5034","140W","24V","-","Cable, Tip Removal Pad","FM-206"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052711699N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0052711699.JPG,T0052711699N-ND,T0052711699N,Apex Tool Group,SOLDERING IRON HOT AIR 200W 24V,6,0,"342.00000","0","1","Weller®, HAP200","Active","Iron, Hot Air","200°F ~ 999°F (93°C ~ 537°C)","-","Not Included","200W","24V","ESD Safe","-","WR3M"
-,//media.digikey.com/Photos/Hakko/MFG_508-1_BLUE.jpg,1691-1004-ND,508-1/P,"American Hakko Products, Inc.",SOLDERING IRON 40W,22,0,"14.47000","0","1","Blue 508","Active","Iron","-","502-T","Included, Not Specified","40W","-","-","Solder","-"
https://www.hakkousa.com/files/index/download/id/17667/,//media.digikey.com/Photos/Hakko/MFG_FX650-02P_cmyk.jpg,1691-1080-ND,FX650-02/P,"American Hakko Products, Inc.",SOLDERING IRON 15W 120V,24,0,"32.97000","0","1","-","Active","Iron","896°F (480°C) (Max)","T34-B","Included, Not Specified","15W","120V","-","Iron Holder, Solder","-"
https://www.hakkousa.com/files/index/download/id/17514/,//media.digikey.com/Photos/Hakko/FX1001-52.jpg,1691-1234-ND,FX1001-52,"American Hakko Products, Inc.","CK,SDRG,IH,W/HOLDER,FX-1001",4,0,"149.97000","0","1","-","Active","Iron","Up to 842°F (450°C)","Not Included","FH800-51BY","50W","-","-","Cord, Heat Resistant Pad, Iron Holder","FX-100"
https://www.hakkousa.com/files/index/download/id/17531/,//media.digikey.com/Photos/Hakko/MFG_FM2030-02.jpg,1691-1054-ND,FM2030-02,"American Hakko Products, Inc.",SOLDERING IRON 140W 24V,18,0,"173.67000","0","1","-","Active","Iron","-","Not Included","FH200-01","140W","24V","Sleep Mode","Cable, Tip Removal Pad","FM-203, FM-206"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_BP650MP.jpg,BP650MP-ND,BP650MP,Apex Tool Group,SOLDERING IRON CORDLSS 4.5W 4.5V,11,0,"20.60000","0","1","Weller®","Active","Iron, Cordless (Battery)","Up to 900°F (482°C)","BP1 (Conical)","Not Included","4.5W","4.5V","Cordless, LED Indicator, Protective Cap","Batteries (3 AA), Solder, Wrench","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SPG40.jpg,SPG40-ND,SPG40,Apex Tool Group,SOLDERING IRON 40W 120V,20,0,"22.50000","0","1","Weller®","Active","Iron","Up to 900°F (482°C)","ST3","Not Included","40W","120V","Impact Resistant","-","-"
-,-,BP865MP-ND,BP865MP,Apex Tool Group,SOLDERING IRON CORDLESS 6W 8W 6V,14,0,"28.70000","0","1","Weller®","Active","Iron, Cordless (Battery)","Up to 950°F (510°C)","BP10 (Conical)","Not Included","6W, 8W","6V","Cordless, LED Indicator, LED Light, Protective Cap","Batteries (4 AA), Solder, Wrench","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_P2KC.jpg,P2KC-ND,P2KC,Apex Tool Group,SOLDERING IRON CORDLESS 25-75W,12,0,"83.00000","0","1","Weller®, Portasol®","Active","Iron, Cordless (Butane)","Up to 850°F (454°C)","PPT6, PPT12, PPT9, PPT10, PTT11","Included, Not Specified","25~75W","-","Auto Off, Electronic Ignition, ESD Safe","Butane Cartridge, Case, Sponge","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_PSI100K.jpg,PSI100K-ND,PSI100K,Apex Tool Group,SOLDERING IRON CORDLESS 125W,5,0,"118.00000","0","1","Weller®, Portasol®","Active","Iron, Cordless (Butane)","Up to 1076°F (580°C)","PSI1, PSI3, PSI9, PSI10","Not Included","125W","-","Auto Off, Electronic Ignition, ESD Safe","Butane Cartridge, Case, Sponge","-"
http://www.avenconnect.com/product_sheets/17501.pdf,//media.digikey.com/Photos/Aven%20Photos/17501.jpg,243-1404-ND,17501,Aven Tools,SOLDERING IRON 40W,6,0,"23.54000","0","1","-","Active","Iron","Up to 900°F (482°C)","Included, Not Specified","Included, Not Specified","40W","-","-","Case, Desoldering Pump, Solder","-"
-,-,243-1561-ND,17401-415T,Aven Tools,SOLDERING IRON FOR 17401,9,0,"27.45000","0","1","-","Active","Iron","-","Included, Not Specified","17401","-","-","-","Cable","17401"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/photos/Cooper%20Industries%20Photos/WP25.jpg,WP25-ND,WP25,Apex Tool Group,SOLDERING IRON 25W 120V,16,0,"49.00000","0","1","Weller®","Obsolete","Iron","Up to 750°F (399°C)","ST3","Not Included","25W","120V","Soft Grip","-","-"
//media.digikey.com/pdf/Data%20Sheets/Dremel%20PDFs/Dremel_2016_cat.pdf,-,2017-1037-ND,2200-01,Dremel,VERSAFLAME BUTANE TORCH,14,0,"49.99000","0","1","VersaFlame™","Active","Iron, Cordless (Butane)","1022 ~ 2192°F (550 ~ 1200°C)","Included, Not Specified","-","-","-","Adjustable Temperature, Torch Feature","Case, Solder, Sponge, Tin, Tips (4), Wrench","-"
//media.digikey.com/pdf/Data%20Sheets/Dremel%20PDFs/Dremel_2016_cat.pdf,-,2017-1036-ND,2000-01,Dremel,VERSATIP BUTANE TORCH,13,0,"49.99000","0","1","VersaTip™","Active","Iron, Hot Air (Butane)","1022 ~ 2192°F (550 ~ 1200°C)","Included, Not Specified","-","-","-","Adjustable Temperature, Torch Feature","Case, Protective Cap, Solder, Sponge, Tin, Tips (6), Wrenches","-"
https://www.hakkousa.com/files/index/download/id/18161/,"//media.digikey.com/Photos/American%20Hakko%20Products,%20Inc/MFG_FX1002-83.jpg",1691-1309-ND,FX1002-83,"American Hakko Products, Inc.",MICRO SOLDERING IRON HANDPIECE O,20,0,"108.67000","0","1","-","Active","Iron","-","-","-","-","-","-","-","FX-100"
https://www.hakkousa.com/files/index/download/id/18159/,-,1691-1308-ND,FX1002-84,"American Hakko Products, Inc.",MICRO SOLDERING IRON CONVERSION,23,0,"178.37000","0","1","-","Active","Iron","-","Not Included","FH800-52BY","-","-","-","Iron Holder, Pad, Sleeve Assembly, Sponge, Wire","FX-100"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/ETZ-KIT.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_ETZ-KIT.jpg,EB1500-ND,ETZ-KIT-1,MENDA/EasyBraid,DESOLDERING TWEEZERS,2,0,"335.48000","0","1","-","Discontinued at Digi-Key","Tweezers, Desoldering","-","-","SHH-MTZ","-","-","Lockable Arms","-","EB-9000S"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052922299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0052922299N_View-1.jpg,T0052922299N-ND,T0052922299N,Apex Tool Group,SOLDERING IRON 90W 24V,0,0,"212.00000","0","1","Weller®","Active","Iron","150°F ~ 850°F (50°C ~ 450°C)","Included, Not Specified","Not Included","90W","24V","-","-","WSR200, WT1"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051320399N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051320399.jpg,T0051320399N-ND,T0051320399N,Apex Tool Group,DESOLDERING TWEEZERS 120W 24V,0,0,"329.00000","0","1","Weller®, WXMT","Active","Tweezers, Desoldering","200°F ~ 850°F (93°C ~ 454°C)","RTW2","WDH60","80W","12V","ESD Safe, Motion Sensing","-","WX Series"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/TC218.jpg,TC218-ND,TC218,Apex Tool Group,HANDPIECE,10,0,"10.50000","0","1","Weller®","Active","Handpiece","-","-","Not Included","-","-","-","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=SP15NUS,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SP15NUS.jpg,SP15NUS-ND,SP15NUS,Apex Tool Group,SOLDERING IRON 15W 120V,3,0,"17.20000","0","1","Weller®","Active","Iron","Up to 750°F (400°C)","SN5 (Chisel)","Not Included","15W","120V","LED Light (3), Soft Grip","-","-"
http://www.avenconnect.com/product_sheets/17502.pdf,//media.digikey.com/Photos/Aven%20Photos/17502.jpg,243-1340-ND,17502,Aven Tools,SOLDERING IRON 40W,3,0,"26.87000","0","1","-","Active","Iron","Up to 900°F (482°C)","Included, Not Specified","Included, Not Specified","40W","-","-","Case, Desoldering Pump, Solder, Solder Aid Tools","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052919499N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0052919499.JPG,T0052919499N-ND,T0052919499N,Apex Tool Group,SOLDERING IRON 120W,0,0,"324.00000","0","1","Weller®, WP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","XTB","WDH10T","120W","-","ESD Safe","-","W2M, WD1M, WD2, WR"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_17510.jpg,243-1235-ND,17510,Aven Tools,SOLDERING IRON 80W,15,0,"19.00000","0","1","-","Active","Iron","Up to 932°F (500°C)","Included, Not Specified","Not Included","80W","-","Non Slip, Soft Grip","-","-"
https://www.hakkousa.com/files/index/download/id/15169/,//media.digikey.com/Photos/Hakko/980-V12%5EP.JPG,1691-1011-ND,980-V12/P,"American Hakko Products, Inc.",SOLDERING IRON 20W 100V,5,0,"51.67000","0","1","PRESTO 980","Active","Iron","824/1166/1292°F (440/630/700°C)","Not Included","Not Included","20W","100V","Power Boost","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/SP175.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SP175.jpg,SP175-ND,SP175,Apex Tool Group,SOLDERING IRON 175W 120V,4,0,"76.00000","0","1","Weller®","Active","Iron","Up to 900°F (482°C)","MTG40 (Chisel)","Not Included","175W","120V","Impact Resistant","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052921799N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0052921799.jpg,T0052921799N-ND,T0052921799N,Apex Tool Group,SOLDERING IRON 55W 12V,0,0,"282.00000","0","1","Weller®, WXMP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","RT3MS","WDH51","55W","12V","ESD Safe","T0052921399N, T0051517199N, T0054461699N","WX1, WX2, WXD2"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WSB25HK.jpg,WSB25HK-ND,WSB25HK,Apex Tool Group,SOLDERING IRON 25W 120V,0,0,"15.40000","0","1","Weller®","Active","Iron","Up to 750°F (399°C)","Included, Not Specified","Included, Not Specified","25W","120V","-","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SP12.jpg,SP12AT-ND,SP12,Apex Tool Group,SOLDERING IRON 12W 120V,0,0,"17.40000","0","1","Weller®","Active","Iron","Up to 750°F (399°C)","MT70 (Conical)","Not Included","12W","120V","Impact Resistant","-","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_7760BK.jpg,7760BK-ND,7760BK,Apex Tool Group,HANDPIECE 120V,0,0,"19.30000","0","50","Weller®","Active","Handpiece","-","Not Included","Not Included","-","120V","Acid and Flux Resistant, Interchangeable Heaters, Soft Touch","-","SL325, SL335, SL325, SL500"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_7770.jpg,7770-ND,7770,Apex Tool Group,HANDPIECE 120V,0,0,"20.10000","0","1","Weller®","Active","Handpiece","-","Not Included","Not Included","-","120V","-","-","SL325, SL335, SL325, SL500"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_7760.jpg,7760-ND,7760,Apex Tool Group,HANDPIECE 120V,1,0,"20.70000","0","1","Weller®","Active","Handpiece","-","Not Included","Not Included","-","120V","Acid and Flux Resistant, Interchangeable Heaters, Soft Touch","-","SL325, SL335, SL325, SL500"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/ML500MP.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_ML500MP.jpg,ML500MP-ND,ML500MP,Apex Tool Group,SOLDERING IRON CORDLESS,0,0,"21.00000","0","1","Weller®, Portasol®","Active","Iron, Cordless (Butane)","750°F ~ 900°F (399°C ~ 482°C)","ML501","Built In","-","-","Electronic Ignition, Refillable, Torch Feature","Butane Cartridge, Protective Cap","-"
-,//media.digikey.com/Photos/Aven%20Photos/MFG_17400-418.jpg,243-1560-ND,17400-418,Aven Tools,REPLACEMENT IRON FOR 17400,3,0,"26.25000","0","1","-","Active","Iron","-","Included, Not Specified","17400","-","-","-","Cable","17400"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_7400.jpg,7400AT-ND,7400,Apex Tool Group,HANDPIECE 120V,0,0,"27.70000","0","1","Weller®","Active","Handpiece","-","Not Included","Not Included","-","120V","Acid and Flux Resistant, Grounded, Interchangeable Heaters, Soft Touch","-","SL325, SL335, SL325, SL500"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/TB100PK.jpg,TB100PK-ND,TB100PK,Apex Tool Group,SOLDERING GUN 30W 130W 120V,0,0,"31.80000","0","1","Weller®, Therma-Boost","Active","Gun","Up to 950°F (510°C)","TB5TK","Included, Not Specified","30W, 130W","120V","-","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0058765714.jpg,T0058765714-ND,T0058765714,Apex Tool Group,HANDPIECE,0,0,"34.30000","0","1","Weller®, WXP","Active","Handpiece","-","-","Not Included","-","-","-","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_7200PKS.jpg,7200PKS-ND,7200PKS,Apex Tool Group,SOLDERING GUN 75W 120V,0,0,"35.50000","0","1","Weller®, Sensormatic","Active","Gun","Up to 1050°F (566°C)","Included, Not Specified","Not Included","75W","120V","Grounded","Solder, Wrench","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_555XT.jpg,555XT-ND,555XT,Apex Tool Group,HANDPIECE,0,0,"36.10000","0","1","Weller®","Active","Handpiece","-","Not Included","Not Included","-","-","Acid and Flux Resistant, Double Insulated, Grounded, Interchangeable Heaters, Soft Touch","-","-"
-,//media.digikey.com/photos/Steinel%20Photos/MFG_72500.jpg,110049871-ND,110049871,Steinel America,SOLDERING IRON CORDLESS 25W-80W,0,0,"38.53000","0","1","ThermaSolder™ 500","Active","Iron, Cordless (Butane)","Up to 2400°F (1316°C)","Included, Not Specified","Not Included","25W ~ 80W","-","-","Butane Cartridge, Case, Protective Cap, Sponge","-"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Appliance-EconoIron-Model-EI-20-Instruction-Manual.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_EI-20K.jpg,EI-20K-ND,EI-20K,Master Appliance Co,SOLDERING IRON CORDLESS,0,0,"39.38000","0","1","EconoIron™","Active","Iron, Cordless (Butane)","395°F ~ 2370°F (200°C ~ 1300°C)","Included, Not Specified","Not Included","-","-","-","Butane Cartridge, Ignition Striker Wheel, Protective Cap","-"
-,-,243-1545-ND,17401-DG,Aven Tools,DESOLDERING GUN FOR THE 17401,5,0,"39.95000","0","1","-","Active","Gun, Desoldering","320°F ~ 896°F (160°C ~ 480°C)","Not Included","17401","90W (200W Max)","24V","Trigger","Cleaning Tools, Filter, Glass Suction Tube, Spring Coil","17401"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SPG80L.jpg,SPG80L-ND,SPG80L,Apex Tool Group,SOLDERING IRON 80W 120V,0,0,"40.00000","0","1","Weller®","Active","Iron","Up to 900°F (482°C)","MTG20 (Chisel)","Included, Not Specified","80W","120V","Impact Resistant","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0058765730.jpg,T0058765730-ND,T0058765730,Apex Tool Group,HANDPIECE,0,0,"40.10000","0","1","Weller®, WXP","Active","Handpiece","-","-","Not Included","-","-","-","-","-"
-,-,T8200AT-ND,T8200,Apex Tool Group,SOLDERING GUN 100W 140W 120V,0,0,"40.90000","0","1","Weller®","Not For New Designs","Gun","Up to 900°F (482°C)","7135W","Not Included","100W, 140W","120V","-","-","-"
-,-,9400G3GCC-ND,9400G3GCC,Apex Tool Group,"KIT,SOLDER GUN,140/100W,120V,US",0,0,"41.70000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,9400PKS-ND,9400PKS,Apex Tool Group,"KIT,SOLDER GUN,140/100W,120V,USA",0,0,"42.80000","0","1","Weller®","Active","Gun","900°F (482°C)","Included, Not Specified","Not Included","100W, 140W","120V","LED Light, Trigger","Solder, Wrench","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_7500BK.jpg,7500BK-ND,7500BK,Apex Tool Group,HANDPIECE 120V,0,0,"42.80020","0","50","Weller®","Active","Handpiece","-","Not Included","Not Included","-","120V","Acid and Flux Resistant, Burn Resistant Cord, Grounded, Interchangeable Heaters, Soft Touch","-","SL325, SL335, SL325, SL500"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WP25BK.jpg,WP25BK-ND,WP25BK,Apex Tool Group,SOLDERING IRON 25W 120V,0,0,"45.20017","0","60","Weller®","Active","Iron","Up to 750°F (399°C)","ST3","Not Included","25W","120V","Soft Grip","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_GT3.jpg,GT3-ND,GT3,Apex Tool Group,HANDPIECE 120V,0,0,"50.00000","0","1","Weller®","Active","Handpiece","-","-","Not Included","-","120V","Trigger","-","-"
-,//media.digikey.com/photos/Steinel%20Photos/MFG_72501.jpg,110049872-ND,110049872,Steinel America,SOLDERING IRON CORDLESS 25W-80W,0,0,"51.59000","0","1","ThermaSolder™ 500","Active","Iron, Cordless (Butane)","Up to 2400°F (1316°C)","Included, Not Specified","Not Included","25W ~ 80W","-","-","Butane Cartridge, Case, Protective Cap, Sponge","-"
-,-,WP25D-ND,WP25D,Apex Tool Group,SOLDERING IRON 25W 230V,0,0,"52.00000","0","1","Weller®","Active","Iron","Up to 750°F (399°C)","ST3","Not Included","25W","230V","Soft Grip","-","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SL325.jpg,SL325AT-ND,SL325,Apex Tool Group,SOLDERING IRON 23W 120V,0,0,"52.00000","0","1","Weller®","Active","Iron","Up to 700°F (371°C)","PL111 (Pencil)","Not Included","23W","120V","Ergonomic, Soft Grip","Heater","-"
-,//media.digikey.com/photos/Steinel%20Photos/MFG_72550.jpg,110049873-ND,110049873,Steinel America,SOLDERING IRON CORDLESS 30-125W,0,0,"53.21000","0","1","ThermaSolder™ 550","Active","Iron, Cordless (Butane)","Up to 2400°F (1316°C)","Included, Not Specified","Not Included","30W ~ 125W","-","Electric Ignition","Butane Cartridge, Case, Protective Cap, Spare Orifice, Sponge","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SL335.jpg,SL335AT-ND,SL335,Apex Tool Group,SOLDERING IRON 33W 120V,0,0,"55.00000","0","1","Weller®","Active","Iron","800°F (427°C)","PL113 (Chisel)","Not Included","33W","120V","Ergonomic, Soft Grip","Heater","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SL500.jpg,SL500-ND,SL500,Apex Tool Group,SOLDERING IRON 50W 120V,0,0,"55.00000","0","1","Weller®","Active","Iron","1000°F (538°C)","PL133 (Chisel)","Not Included","50W","120V","Ergonomic, Soft Grip","Heater","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SL345.jpg,SL345-ND,SL345,Apex Tool Group,SOLDERING IRON 45W 120V,0,0,"58.00000","0","1","Weller®","Not For New Designs","Iron","Up to 900°F (482°C)","PL133 (Chisel)","Not Included","45W","120V","Ergonomic, Soft Grip","Heater","-"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_UT_40Si_Manual.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/UT-40SI.JPG,MA1021-ND,UT-40SI,Master Appliance Co,SOLDERING IRON CORDLESS,0,0,"59.49000","0","1","Ultratorch®","Active","Iron, Cordless (Butane)","-","70-01-55, 91-01-01, 91-01-52, 91-01-53","Not Included","-","-","-","Butane Cartridge, Protective Cap","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/SHP-PM.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/SHP-PM.jpg,EB1347-ND,SHP-PM,MENDA/EasyBraid,HANDPIECE 55W 100-240V,3,0,"61.13000","0","1","-","Discontinued at Digi-Key","Handpiece","-","EP Series","Not Included","55W","100 ~ 240V","Curie Heat Technology","Tip Removal Pad","EB-2000S-PM"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/SP120.jpg,SP120-ND,SP120,Apex Tool Group,SOLDERING IRON 120W 120V,0,0,"62.00000","0","1","Weller®, Marksman®","Active","Iron","Up to 900°F (482°C)","MTG30 (Chisel)","Not Included","120W","120V","Impact Resistant","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/D550.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_D550.jpg,D550-ND,D550,Apex Tool Group,SOLDERING GUN 200W 260W 120V,0,0,"64.00000","0","1","Weller®","Active","Gun","Up to 1100°F (593°C)","7250W","Not Included","200W, 260W","120V","LED Light","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=W100PG,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_W100PG.jpg,W100PG-ND,W100PG,Apex Tool Group,SOLDERING IRON 100W 120V,0,0,"72.00000","0","1","Weller®","Active","Iron","600°F/700°F/800°F (316°C/371°C/427°C)","CT6F7","Included, Not Specified","100W","120V","-","-","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WSTA6.jpg,WSTA6-ND,WSTA6,Apex Tool Group,SOLDERING IRON CORDLESS,0,0,"79.00000","0","1","Weller®, Pyropen®","Not For New Designs","Iron, Cordless (Butane)","392°F ~ 932°F (200°C ~ 500°C)","WHC0152, WPT01","Not Included","-","-","-","-","-"
-,//media.digikey.com/photos/Steinel%20Photos/MFG_72551.jpg,110049874-ND,110049874,Steinel America,SOLDERING IRON CORDLESS 30-125W,0,0,"82.41000","0","1","ThermaSolder™ 550","Active","Iron, Cordless (Butane)","Up to 2400°F (1316°C)","Included, Not Specified","Not Included","30W ~ 125W","-","Electric Ignition","Butane Cartridge, Case, Protective Cap, Spare Orifice, Sponge","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/UT-50_Man.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_UT-50.jpg,UT-50-ND,UT-50,Master Appliance Co,SOLDERING IRON CORDLESS,0,0,"86.70300","0","10","Ultratorch®","Active","Iron, Cordless (Butane)","Up to 2372°F (1300°C)","Included, Not Specified","Not Included","-","-","-","Butane Cartridge, Protective Cap","-"
-,-,BL60MP-ND,BL60MP,Apex Tool Group,LI-ION BATT PWRD CORDLESS SOLDER,0,0,"87.00000","0","1","Weller®","Active","Iron, Cordless (Battery)","950°F (510°C)","BL10","Not Included","12W","100 ~ 240V","Cordless, LED Light","-","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_GT7A.jpg,GT7A-ND,GT7A,Apex Tool Group,SOLDERING GUN 150W 120V,0,0,"88.00000","0","1","Weller®","Active","Gun","Up to 700°F (371°C)","7A","Not Included","150W","120V","Trigger","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/D650.jpg,D650PK-ND,D650PK,Apex Tool Group,SOLDERING GUN 200W 300W 120V,0,0,"91.00000","0","1","Weller®","Active","Gun","900°F/1100°F (482°C/593°C)","6150, 6160, 7250","Not Included","200W, 300W","120V","Light","Case","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=W100P3,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_W100P3.jpg,W100P3-ND,W100P3,Apex Tool Group,SOLDERING IRON 100W 120V,0,0,"96.00000","0","1","Weller®","Active","Iron","600°F/700°F/800°F (316°C/371°C/427°C)","CT6F7","Not Included","100W","120V","-","-","-"
