Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Function","Actuator Type","Operating Pressure","Orifice Diameter","Fluid Type","Connection Method","For Use With/Related Products","Mounting Type","Features"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/electro-pneumatic-valves.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81513203.JPG,966-1190-ND,81513203,Crouzet,SOLENOID VALVE ASSY 4/2 DIN RAIL,9,0,"108.38000","0","1","-","Active","Solenoid Valve Assembly","4/2","-","44 ~ 116PSI (3 ~ 8 bar)","0.118"" (3.00mm)","Air, Inert Gas","-","-","DIN Rail","Manual Override, Supply Voltage 24VDC"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81523601.jpg,966-1012-ND,81523601,Crouzet,MEMORY ELEMENT 4/2 SUB-BASE MNT,10,0,"119.31000","0","1","-","Active","Memory Element","4/2","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Pressure Indicator"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81921912.JPG,966-1325-ND,81921912,Crouzet,POSITION DETECT 3/2 NO CHAS MNT,2,0,"119.55000","0","1","-","Active","Position Detector","3/2 Normally Open","Lever, Roller","1 ~ 116PSI (0.1 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 18N"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81509085.jpg,966-1125-ND,81509085,Crouzet,SWITCH PRES OPERATED SUB-BASE MT,8,0,"121.61000","0","1","-","Active","Pressure Switch","Pressure Operated","-","20PSI (1.4 bar)","-","Air, Inert Gas, Liquid","-","-","Sub-Base Mount","Manual Override"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81922210.JPG,966-1328-ND,81922210,Crouzet,POSITION DETECT 3/2 NC CHAS MNT,2,0,"124.53000","0","1","Compact","Active","Position Detector","3/2 Normally Closed","Side Rotary - No Lever","1 ~ 116PSI (0.1 ~ 8 bar)","0.118"" (3.00mm)","Air, Inert Gas","Threaded 1/8"" BSP","-","Chassis Mount","Operating Force 25N"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81503720.jpg,966-1060-ND,81503720,Crouzet,TIMER ON-DELAY SUB-BASE MOUNT,6,0,"151.51000","0","1","-","Active","Timer, Adjustable","On-Delay","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Delay Time 0.1 ~ 30sec"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81507720.jpg,966-1123-ND,81507720,Crouzet,IMPULSE GENERATOR SUB-BASE MOUNT,12,0,"165.08000","0","1","-","Active","Impulse Generator, Adjustable","-","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Delay Time 0.1 ~ 30sec"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81502140.JPG,966-1225-ND,81502140,Crouzet,SWITCH NEG OUTPUT SUB-BASE MNT,4,0,"174.62000","0","1","-","Active","Pressure Switch","Negative Output","-","0.7 ~ 7PSI (0.05 ~ 0.5 bar)","0.098"" (2.50mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81506725.JPG,966-1234-ND,81506725,Crouzet,TIMER OFF-DELAY SUB-BASE MOUNT,3,0,"181.80000","0","1","-","Active","Timer, Adjustable","Off-Delay","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Delay Time 0.1 ~ 60sec"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81502230.JPG,966-1227-ND,81502230,Crouzet,AMPLIFIER RELAY POS OUT SUB-BASE,18,0,"200.59000","0","1","-","Active","Amplifier Relay","Positive Output","-","30 ~ 116PSI (2 ~ 8 bar)","0.098"" (2.50mm)","Air, Inert Gas","-","-","Sub-Base Mount","Input Pressure 10 ~ 20mb"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81505110.jpg,966-1116-ND,81505110,Crouzet,VACUUM SWITCH POS OUT SUBBASE MT,2,0,"287.95000","0","1","-","Active","Vacuum Switch","Positive Output","-","-1 ~ -13PSI (-0.1 ~ -0.9 bar)","-","Air, Inert Gas","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81922401.JPG,966-1329-ND,81922401,Crouzet,POSITION DETECT 3/2 NC CHAS MNT,10,0,"289.95000","0","1","Compact","Active","Position Detector","3/2 Normally Closed","Roller Plunger","1 ~ 116PSI (0.1 ~ 8 bar)","0.118"" (3.00mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 25N"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81505140.JPG,966-1230-ND,81505140,Crouzet,SWITCH POSITIVE OUT SUB-BASE MNT,2,0,"304.22000","0","1","-","Active","Pressure Switch","Positive Output","-","0.7 ~ 7PSI (0.05 ~ 0.5 bar)","0.098"" (2.50mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/photos/Crouzet%20Photos/81505150.JPG,966-1061-ND,81505150,Crouzet,SWITCH POSITIVE OUT SUB-BASE MNT,3,0,"306.34000","0","1","-","Active","Pressure Switch","Positive Output","-","1 ~ 36PSI (0.1 ~ 2.5 bar)","0.098"" (2.50mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com/assets/library/Crouzet-Control_Pneumatics_EN.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81580504.JPG,966-1311-ND,81580504,Crouzet,CONTROL RELAY 2-HAND START CHAS,3,0,"657.81000","0","1","-","Active","Control Relay","2-Hand Start","Pushbutton, Dual","30 ~ 116PSI (2 ~ 8 bar)","0.098"" (2.50mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","-"
//media.digikey.com/pdf/Data%20Sheets/Delta%20PDFs/DSP06090.pdf,//media.digikey.com/Photos/Delta%20Photos/DSP-06090.JPG,1144-1392-ND,DSP-06090,Delta Electronics,SOLENOID PMP 900CC/MIN FREE HANG,10,0,"22.94000","0","1","DSP","Active","Solenoid Pump","-","-","0 ~ 87 PSI (0 ~ 6 bar)","-","Liquid","Barbed Connection for Tubing 7mm Dia., Threaded 1/8"" BSP","-","Free Hanging (In-Line)","Integrated Diode, Supply Voltage 110VAC"
//media.digikey.com/pdf/Data%20Sheets/Delta%20PDFs/DSP12050.pdf,//media.digikey.com/Photos/Delta%20Photos/MFG_DSP-Series_Solenoid-Pump.jpg,1144-1394-ND,DSP-12050,Delta Electronics,SOLENOID PMP 500CC/MIN FREE HANG,15,0,"23.93000","0","1","DSP","Active","Solenoid Pump","-","-","0 ~ 175 PSI (0 ~ 12.1 bar)","-","Liquid","Barbed Connection for Tubing 7mm Dia., Threaded 1/8"" BSP","-","Free Hanging (In-Line)","Integrated Diode, Supply Voltage 110VAC"
//media.digikey.com/pdf/Data%20Sheets/Delta%20PDFs/DSP12090.pdf,//media.digikey.com/Photos/Delta%20Photos/DSP-12090.JPG,1144-1393-ND,DSP-12090,Delta Electronics,SOLENOID PMP 900CC/MIN FREE HANG,6,0,"25.23000","0","1","DSP","Active","Solenoid Pump","-","-","0 ~ 175 PSI (0 ~ 12.1 bar)","-","Liquid","Barbed Connection for Tubing 7mm Dia., Threaded 1/8"" BSP","-","Free Hanging (In-Line)","Integrated Diode, Supply Voltage 110VAC"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81281510.JPG,966-1221-ND,81281510,Crouzet,POSITION DETECTOR 3/2 NC ROD MNT,6,0,"33.93000","0","1","Microvalve","Active","Position Detector","3/2 Normally Closed","Round (Pin Plunger)","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Rod Mount","Operating Force 15N"
//media.digikey.com/pdf/Data%20Sheets/Delta%20PDFs/DSP16065.pdf,//media.digikey.com/Photos/Delta%20Photos/DSP-16065.JPG,1144-1395-ND,DSP-16065,Delta Electronics,SOLENOID PMP 650CC/MIN FREE HANG,6,0,"34.18000","0","1","DSP","Active","Solenoid Pump","-","-","0 ~ 230 PSI (0 ~ 16 bar)","-","Liquid","Barbed Connection for Tubing 7mm Dia., Threaded 1/8"" BSP","-","Free Hanging (In-Line)","Integrated Diode, Supply Voltage 230VAC"
-,//media.digikey.com/Photos/Crouzet%20Photos/81513014.jpg,966-1239-ND,81513014,Crouzet,PNEUM VALVE END BASE PAIR DIN,6,0,"35.57000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81513516.jpg,966-1248-ND,81513516,Crouzet,SWITCH PRES OPERATED SUB-BASE MT,10,0,"68.26000","0","1","-","Active","Pressure Switch","Pressure Operated","-","30 ~ 116PSI (2 ~ 8 bar)","-","Air, Inert Gas, Liquid","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Sub-Base Mount","-"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/Man-Machine-interface-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81733511.JPG,966-1073-ND,81733511,Crouzet,CONTROL VALVE 3/2 NC PANEL MOUNT,8,0,"78.00000","0","1","-","Active","Control Valve, Momentary","3/2 Normally Closed","Pushbutton, Dual","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Panel Mount","Operating Force 8 ~ 18N"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/Man-Machine-interface-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81716511.JPG,966-1315-ND,81716511,Crouzet,CONTROL VALVE 3/2 NC PANEL MOUNT,2,0,"134.39000","0","1","-","Active","Control Valve, Momentary","3/2 Normally Closed","Paddle","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Panel Mount","Operating Force 8 ~ 18N"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81503725.JPG,966-1115-ND,81503725,Crouzet,TIMER ON-DELAY SUB-BASE MOUNT,5,0,"181.68000","0","1","-","Active","Timer, Adjustable","On-Delay","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Delay Time 0.1 ~ 60sec"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/electro-pneumatic-valves.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81513065.JPG,966-1243-ND,81513065,Crouzet,SUB-BASE DIN RAIL,14,0,"25.69000","0","1","-","Active","Sub-Base","-","-","-","-","-","Push-In Connection for Tubing 6.00mm Dia","Control Valve","DIN Rail","-"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL1B4.jpg,725-1819-ND,SOL1B3,Cynergy 3,VALVE SOLENOID 3/8"" BSP NC 110/1,2,0,"97.34000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","1 ~ 218 PSI (0.1 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/8"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL2B4.jpg,725-1826-ND,SOL2B4,Cynergy 3,VALVE SOLENOID 1/2"" BSP NC 220/2,2,0,"103.84000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","1 ~ 218 PSI (0.1 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 1/2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL2B4.jpg,725-1825-ND,SOL2B3,Cynergy 3,VALVE SOLENOID 1/2"" BSP NC 110/1,2,0,"120.06000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","1 ~ 218 PSI (0.1 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 1/2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1830-ND,SOL3B1,Cynergy 3,VALVE SOLENOID 3/4"" BSP NC 24VDC,2,0,"130.19000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","3 ~ 218 PSI (0.2 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/4"" BSP","-","Free Hanging (In-Line)","Supply Voltage 24VDC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4B3.jpg,725-1836-ND,SOL4B1,Cynergy 3,VALVE SOLENOID 1"" BSP NC 24VDC,5,0,"139.07000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","3 ~ 174 PSI (0.2 ~ 12 bar)","-","Inert Gas, Liquid","Threaded 1"" BSP","-","Free Hanging (In-Line)","Supply Voltage 24VDC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4B3.jpg,725-1838-ND,SOL4B4,Cynergy 3,VALVE SOLENOID 1"" BSP NC 220/240,2,0,"154.20000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","3 ~ 174 PSI (0.2 ~ 12 bar)","-","Inert Gas, Liquid","Threaded 1"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL2B4.jpg,725-1821-ND,SOL2A1,Cynergy 3,VALVE SOLENOID 1/2"" BSP NO 24VDC,2,0,"157.85000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","1 ~ 218 PSI (0.1 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 1/2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 24VDC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL2B4.jpg,725-1823-ND,SOL2A4,Cynergy 3,VALVE SOLENOID 1/2"" BSP NO 220VA,2,0,"157.85000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","1 ~ 218 PSI (0.1 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 1/2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4A3.jpg,725-1832-ND,SOL3B4,Cynergy 3,VALVE SOLENOID 3/4"" BSP NC 220/2,2,0,"162.37000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","3 ~ 218 PSI (0.2 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/4"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL2B4.jpg,725-1822-ND,SOL2A3,Cynergy 3,VALVE SOLENOID 1/2"" BSP NO 110/1,2,0,"162.97000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","1 ~ 218 PSI (0.1 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 1/2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL1B4.jpg,725-1817-ND,SOL1A4,Cynergy 3,VALVE SOLENOID 3/8"" BSP NO 220/2,2,0,"165.87000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","1 ~ 218 PSI (0.1 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/8"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4B3.jpg,725-1837-ND,SOL4B3,Cynergy 3,VALVE SOLENOID 1"" BSP NC 110/120,2,0,"169.52000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","3 ~ 174 PSI (0.2 ~ 12 bar)","-","Inert Gas, Liquid","Threaded 1"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL1B4.jpg,725-1816-ND,SOL1A3,Cynergy 3,VALVE SOLENOID 3/8"" BSP NO 110/1,2,0,"170.53000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","1 ~ 218 PSI (0.1 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/8"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL3B3.JPG,725-1831-ND,SOL3B3,Cynergy 3,VALVE SOLENOID 3/4"" BSP NC 110/1,2,0,"176.78000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","3 ~ 218 PSI (0.2 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/4"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4A3.jpg,725-1827-ND,SOL3A1,Cynergy 3,VALVE SOLENOID 3/4"" BSP NO 24VDC,2,0,"201.13000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","3 ~ 218 PSI (0.2 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/4"" BSP","-","Free Hanging (In-Line)","Supply Voltage 24VDC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4A3.jpg,725-1829-ND,SOL3A4,Cynergy 3,VALVE SOLENOID 3/4"" BSP NO 220/2,2,0,"201.13000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","3 ~ 218 PSI (0.2 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/4"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4A1.jpg,725-1833-ND,SOL4A1,Cynergy 3,VALVE SOLENOID 1"" BSP NO 24VDC,2,0,"201.34000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","3 ~ 174 PSI (0.2 ~ 12 bar)","-","Inert Gas, Liquid","Threaded 1"" BSP","-","Free Hanging (In-Line)","Supply Voltage 24VDC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL5B4.jpg,725-1844-ND,SOL5B4,Cynergy 3,VALVE SOLENOID 1-1/4"" BSP NC 220,3,0,"214.28000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","6 ~ 174 PSI (0.4 ~ 12 bar)","-","Inert Gas, Liquid","Threaded 1-1/4"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4A3.jpg,725-1828-ND,SOL3A3,Cynergy 3,VALVE SOLENOID 3/4"" BSP NO 110/1,2,0,"215.54000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","3 ~ 218 PSI (0.2 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/4"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4B3.jpg,725-1835-ND,SOL4A4,Cynergy 3,VALVE SOLENOID 1"" BSP NO 220/240,2,0,"226.56000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","3 ~ 174 PSI (0.2 ~ 12 bar)","-","Inert Gas, Liquid","Threaded 1"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1843-ND,SOL5B3,Cynergy 3,VALVE SOLENOID 1-1/4"" BSP NC 110,3,0,"231.81000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","6 ~ 174 PSI (0.4 ~ 12 bar)","-","Inert Gas, Liquid","Threaded 1-1/4"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL5A4.jpg,725-1842-ND,SOL5B1,Cynergy 3,VALVE SOLENOID 1-1/4"" BSP NC 24V,3,0,"233.36000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","6 ~ 174 PSI (0.4 ~ 12 bar)","-","Inert Gas, Liquid","Threaded 1-1/4"" BSP","-","Free Hanging (In-Line)","Supply Voltage 24VDC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL4A3.jpg,725-1834-ND,SOL4A3,Cynergy 3,VALVE SOLENOID 1"" BSP NO 110/120,2,0,"240.07000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","3 ~ 174 PSI (0.2 ~ 12 bar)","-","Inert Gas, Liquid","Threaded 1"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,//media.digikey.com/Photos/Cynergy%203/SOL1B4.jpg,725-1815-ND,SOL1A1,Cynergy 3,VALVE SOLENOID 3/8"" BSP NO 24VDC,2,0,"240.99000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","1 ~ 218 PSI (0.1 ~ 15 bar)","-","Inert Gas, Liquid","Threaded 3/8"" BSP","-","Free Hanging (In-Line)","Supply Voltage 24VDC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1846-ND,SOL6B1,Cynergy 3,VALVE SOLENOID 1-1/2"" BSP NC 24V,3,0,"280.05000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","6 ~ 145 PSI (0.4 ~ 10 bar)","-","Inert Gas, Liquid","Threaded 1-1/2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 24VDC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1848-ND,SOL6B4,Cynergy 3,VALVE SOLENOID 1-1/2"" BSP NC 220,3,0,"280.05000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","6 ~ 145 PSI (0.4 ~ 10 bar)","-","Inert Gas, Liquid","Threaded 1-1/2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1847-ND,SOL6B3,Cynergy 3,VALVE SOLENOID 1-1/2"" BSP NC 110,3,0,"296.50000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","6 ~ 145 PSI (0.4 ~ 10 bar)","-","Inert Gas, Liquid","Threaded 1-1/2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1850-ND,SOL7B1,Cynergy 3,VALVE SOLENOID 2"" BSP NC 24VDC,3,0,"312.00000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","6 ~ 145 PSI (0.4 ~ 10 bar)","-","Inert Gas, Liquid","Threaded 2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 24VDC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1852-ND,SOL7B4,Cynergy 3,VALVE SOLENOID 2"" BSP NC 220/240,3,0,"312.00000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","6 ~ 145 PSI (0.4 ~ 10 bar)","-","Inert Gas, Liquid","Threaded 2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1845-ND,SOL6A4,Cynergy 3,VALVE SOLENOID 1-1/2"" BSP NO 220,3,0,"317.41000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","6 ~ 145 PSI (0.4 ~ 10 bar)","-","Inert Gas, Liquid","Threaded 1-1/2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1851-ND,SOL7B3,Cynergy 3,VALVE SOLENOID 2"" BSP NC 110/120,3,0,"328.41000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Closed, One-Way","-","6 ~ 145 PSI (0.4 ~ 10 bar)","-","Inert Gas, Liquid","Threaded 2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 110VAC"
http://www.cynergy3.com/sites/default/files/SOL%20Series%202018_0.pdf,-,725-1849-ND,SOL7A4,Cynergy 3,VALVE SOLENOID 2"" BSP NO 220/240,3,0,"348.53000","0","1","SOL","Active","Solenoid Valve","2/2 Normally Open, One-Way","-","6 ~ 145 PSI (0.4 ~ 10 bar)","-","Inert Gas, Liquid","Threaded 2"" BSP","-","Free Hanging (In-Line)","Supply Voltage 230VAC"
