Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Coil Type","Voltage - Rated","Current Rating (Amps)","Steps per Revolution","Step Angle","Accuracy","Torque - Holding (oz-in / mNm)","Size / Dimension","NEMA Frame Size","Diameter - Shaft","Length - Shaft and Bearing","Mounting Hole Spacing","Termination Style","Operating Temperature","Coil Resistance","Features"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/23KM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/23KM-K049-99V.jpg,P14286-ND,23KM-K049-99V,NMB Technologies Corporation,STEP MOTOR HYBRID DUAL SHAFT 24V,10,0,"69.74000","0","1","23KM","Active","Hybrid, Dual Shaft","Unipolar","24VDC","2A","200","1.8°","±5%","127.47 / 900","Square - 2.220"" x 2.220"" (56.40mm x 56.40mm)","23","0.250"" (6.35mm)","0.984"" (25.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-10°C ~ 50°C","1.7 Ohms","Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qsh6018%2F_datasheet%2FQSH6018_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QSH6018-45-28-110.jpg,1460-1081-ND,QSH6018-45-28-110,Trinamic Motion Control GmbH,STEP MOTOR HYBRID BIPOLAR 2.1V,22,0,"70.05000","0","1","QMot QSH6018","Active","Hybrid","Bipolar","2.1VDC","2.8A","200","1.8°","±5%","155.77 / 1100","Square - 2.362"" x 2.362"" (60.00mm x 60.00mm)","24","0.315"" (8.00mm)","0.945"" (24.00mm)","1.856"" (47.14mm)","Wire Leads","-20°C ~ 50°C","0.7 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/23KM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/23KM-K762-00V.jpg,P14289-ND,23KM-K762-00V,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,17,0,"79.48000","0","1","23KM","Active","Hybrid","Unipolar","24VDC","1A","200","1.8°","±5%","198.28 / 1400","Square - 2.220"" x 2.220"" (56.40mm x 56.40mm)","23","0.250"" (6.35mm)","0.984"" (25.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-10°C ~ 50°C","8.6 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/23KM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/23KM-K743-00V.jpg,P14293-ND,23KM-K743-00V,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,9,0,"79.48000","0","1","23KM","Active","Hybrid","Unipolar","24VDC","3A","200","1.8°","±5%","198.28 / 1400","Square - 2.220"" x 2.220"" (56.40mm x 56.40mm)","23","0.250"" (6.35mm)","0.984"" (25.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-10°C ~ 50°C","1.1 Ohms","Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1070%2F_datasheet%2FPD-1070-hardware-manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_PD42-x-1070.JPG,1460-1179-ND,PD42-2-1070,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,17,0,"121.00000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","1A","200","1.8°","±5%","51 / 360","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","-","-","1.220"" (30.99mm)","Connector","-20°C ~ 50°C","1.2 Ohms","Integrated Controller, Round Shaft"
https://www.trinamic.com/fileadmin/assets/Products/Drives_Documents/PD42-1270_hardware_manual_Hw1.00_Rev1.10.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_PD42-3-1270-CANOPEN.jpg,1460-1209-ND,PD42-3-1270-CANOPEN,Trinamic Motion Control GmbH,"PANDRIVE NEMA17, 24V, 69 OZ IN/",22,0,"150.50000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","1A","200","1.8°","±5%","62.3 / 440","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","-","-","1.220"" (31.00mm)","Connector","-20°C ~ 50°C","1.4 Ohms","Integrated Controller, Round Shaft"
https://www.trinamic.com/fileadmin/assets/Products/Drives_Documents/PD42-1270_hardware_manual_Hw1.00_Rev1.10.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_PD42-3-1270-TMCL.jpg,1460-1208-ND,PD42-3-1270-TMCL,Trinamic Motion Control GmbH,"PANDRIVE NEMA17, 24V, 69 OZ IN/",15,0,"150.50000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","1A","200","1.8°","±5%","62.3 / 440","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","-","-","1.220"" (31.00mm)","Connector","-20°C ~ 50°C","1.4 Ohms","Integrated Controller, Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/34KM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/34KM-SERIES.jpg,P14323-ND,34KM-K122-00W,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,3,0,"176.79000","0","1","34KM","Active","Hybrid","Unipolar","24VDC","1.9A","200","1.8°","±5%","679.82 / 4800","Square - 3.347"" x 3.347"" (85.00mm x 85.00mm)","34","0.551"" (14.00mm)","1.457"" (37.00mm)","2.740"" (69.60mm)","Wire Leads","-10°C ~ 50°C","3.9 Ohms","Double Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/34KM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/34KM-K221-00W.jpg,P14329-ND,34KM-K221-00W,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,4,0,"242.12000","0","1","34KM","Active","Hybrid","Unipolar","24VDC","2A","200","1.8°","±5%","948.92 / 6700","Square - 3.347"" x 3.347"" (85.00mm x 85.00mm)","34","0.551"" (14.00mm)","1.457"" (37.00mm)","2.740"" (69.60mm)","Wire Leads","-10°C ~ 50°C","4.9 Ohms","Double Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/34KM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/34KM-SERIES.jpg,P14331-ND,34KM-K206-00W,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,2,0,"242.12000","0","1","34KM","Active","Hybrid","Unipolar","24VDC","4.7A","200","1.8°","±5%","948.92 / 6700","Square - 3.347"" x 3.347"" (85.00mm x 85.00mm)","34","0.551"" (14.00mm)","1.457"" (37.00mm)","2.740"" (69.60mm)","Wire Leads","-10°C ~ 50°C","0.85 Ohms","Double Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qsh8618%2F_datasheet%2FQSH8618_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QSH8618-96-55-700.jpg,1460-1085-ND,QSH8618-96-55-700,Trinamic Motion Control GmbH,STEP MOTOR HYBRID BIPOLAR 2.56V,5,0,"280.22000","0","1","QMot QSH8618","Active","Hybrid","Bipolar","2.56VDC","5.5A","200","1.8°","±5%","991.28 / 7000","Square - 3.380"" x 3.380"" (85.85mm x 85.85mm)","34","0.500"" (12.70mm)","1.310"" (33.27mm)","2.740"" (69.60mm)","Wire Leads","-20°C ~ 50°C","0.45 Ohms","Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1160%2F_datasheet%2FPD-1160_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD60-3-1160-CANOPEN.jpg,1460-1116-ND,PD60-3-1160-CANOPEN,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 48V,17,0,"317.17000","0","1","PANdrive™","Active","Hybrid","Bipolar","48VDC","2.8A","200","1.8°","-","297.38 / 2100","Square - 2.362"" x 2.362"" (60.00mm x 60.00mm)","24","0.315"" (8.00mm)","0.945"" (24.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1160%2F_datasheet%2FPD-1160_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD60-4-1160-CANOPEN.jpg,1460-1117-ND,PD60-4-1160-CANOPEN,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 48V,3,0,"339.13000","0","1","PANdrive™","Active","Hybrid","Bipolar","48VDC","2.8A","200","1.8°","-","438.99 / 3100","Square - 2.362"" x 2.362"" (60.00mm x 60.00mm)","24","0.315"" (8.00mm)","0.945"" (24.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1180_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD86-3-1180-CANOPEN.jpg,1460-1123-ND,PD86-3-1180-CANOPEN,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 48V,4,0,"651.44000","0","1","PANdrive™","Active","Hybrid","Bipolar","48VDC","5.5A","200","1.8°","-","991.28 / 7000","Square - 3.382"" x 3.382"" (85.90mm x 85.90mm)","34","0.500"" (12.70mm)","1.310"" (33.27mm)","2.740"" (69.60mm)","Wire Leads with Connector","-","0.45 Ohms","Integrated Controller, Flatted Shaft"
http://www.portescap.com/sites/default/files/26m024b_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/26M024B2U.JPG,403-1003-ND,26M024B2U,Portescap,STEPPER MOTOR PM UNIPOLAR 12V,52,0,"24.21000","0","1","26M","Active","Permanent Magnet","Unipolar","12VDC","110mA","24","15°","±15%","0.9 / 6.3","Round - 1.030"" Dia (26.16mm)","-","0.079"" (2.00mm)","0.445"" (11.30mm)","1.370"" (34.90mm)","Wire Leads","-20°C ~ 70°C","110 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/26m048d_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/26M048D1U.JPG,403-1019-ND,26M048D1U,Portescap,STEPPER MOTOR PM UNIPOLAR 5V,48,0,"24.21000","0","1","26M","Active","Permanent Magnet","Unipolar","5VDC","260mA","48","7.5°","±15%","1.6 / 11.3","Round - 1.030"" Dia (26.16mm)","-","0.079"" (2.00mm)","0.445"" (11.30mm)","1.370"" (34.90mm)","Wire Leads","-20°C ~ 70°C","19.6 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/20M024D%20Specification%20Sheet.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/20M024D1U.JPG,403-1018-ND,20M024D1U,Portescap,STEPPER MOTOR PM UNIPOLAR 5V,29,0,"24.21000","0","1","20M","Active","Permanent Magnet","Unipolar","5VDC","250mA","24","15°","±15%","1.1 / 7.77","Round - 0.807"" Dia (20.50mm)","-","0.059"" (1.50mm)","0.335"" (8.50mm)","0.984"" (25.00mm)","Wire Leads","-20°C ~ 70°C","20 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/35m048b_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/35M048B2U.JPG,403-1008-ND,35M048B2U,Portescap,STEPPER MOTOR PM UNIPOLAR 12V,40,0,"25.72000","0","1","35M","Active","Permanent Magnet","Unipolar","12VDC","170mA","48","7.5°","±15%","2.6 / 18.35","Round - 1.420"" Dia (35.94mm)","-","0.079"" (2.00mm)","0.445"" (11.30mm)","1.650"" (42.00mm)","Wire Leads","-20°C ~ 70°C","72 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/35m048b_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/35M048B1U.JPG,403-1021-ND,35M048B1U,Portescap,STEPPER MOTOR PM UNIPOLAR 5V,20,0,"25.72000","0","1","35M","Active","Permanent Magnet","Unipolar","5VDC","400mA","48","7.5°","±15%","2.6 / 18.35","Round - 1.420"" Dia (35.94mm)","-","0.079"" (2.00mm)","0.445"" (11.30mm)","1.650"" (42.00mm)","Wire Leads","-20°C ~ 70°C","12.5 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/29SM-K242BT01CA_Spec.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/29SM-K242BT01CA.JPG,P16830-ND,29SM-K242BT01CA,NMB Technologies Corporation,STEPPER MOTOR HYBRID BIPOLAR 24V,8,0,"33.33000","0","1","29SM","Active","Hybrid","Bipolar","24VDC","-","200","1.8°","±5%","-","Round - 2.795"" Dia (71.00mm)","-","0.236"" (6.00mm)","0.453"" (11.50mm)","1.856"" (47.14mm)","Connector","-10°C ~ 50°C","-","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/Portescap%20Danaher%20PDFs/CanStack%20Motor%20Part%20Numbering.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/42M048C2U-R21.JPG,403-1029-ND,42M048C2U-R21,Portescap,STEPPER MOTOR PM GEARED UNI 12V,50,0,"50.80000","0","1","42M-R","Active","Permanent Magnet Gear Motor","Unipolar","12VDC","230mA","480","0.75°","-","9.4 / 66.2","Round - 1.650"" Dia (42.00mm)","-","0.093"" (2.36mm)","0.469"" (11.92mm)","1.880"" (47.63mm)","Wire Leads","-20°C ~ 70°C","52.4 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/17PY-Z.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/17PY-Z053-99VS.jpg,P14296-ND,17PY-Z053-99VS,NMB Technologies Corporation,STEP MOTOR HYBRID DUAL SHAFT 24V,8,0,"52.11000","0","1","17PY","Active","Hybrid, Dual Shaft","Unipolar","24VDC","850mA","400","0.9°","±5%","22.7 / 160","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","0.197"" (5.00mm)","0.787"" (20.00mm)","1.220"" (31.00mm)","Wire Leads with Connector","-10°C ~ 50°C","4.2 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/17PM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/17PM-K455-99VS.jpg,P14276-ND,17PM-K455-99VS,NMB Technologies Corporation,STEP MOTOR HYBRID DUAL SHAFT 24V,19,0,"59.14000","0","1","17PM","Active","Hybrid, Dual Shaft","Unipolar","24VDC","800mA","200","1.8°","±5%","48.15 / 340","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","0.197"" (5.00mm)","0.984"" (25.00mm)","1.220"" (31.00mm)","Wire Leads","-10°C ~ 50°C","7.3 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/17PY-Z.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/17PY-Z444-99VS.jpg,P14302-ND,17PY-Z444-99VS,NMB Technologies Corporation,STEP MOTOR HYBRID DUAL SHAFT 24V,10,0,"59.14000","0","1","17PY","Active","Hybrid, Dual Shaft","Unipolar","24VDC","1.2A","400","0.9°","±5%","46.74 / 330","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","0.197"" (5.00mm)","0.787"" (20.00mm)","1.220"" (31.00mm)","Wire Leads with Connector","-10°C ~ 50°C","3.3 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/23KM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/23KM-K251-00V.jpg,P14279-ND,23KM-K251-00V,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,22,0,"62.42000","0","1","23KM","Active","Hybrid","Unipolar","24VDC","1.8A","200","1.8°","±5%","67.98 / 480","Square - 2.220"" x 2.220"" (56.40mm x 56.40mm)","23","0.250"" (6.35mm)","0.984"" (25.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-10°C ~ 50°C","1.5 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/23KM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/23KM-K049-00V.JPG,P14285-ND,23KM-K049-00V,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,6,0,"66.81000","0","1","23KM","Active","Hybrid","Unipolar","24VDC","2A","200","1.8°","±5%","127.47 / 900","Square - 2.220"" x 2.220"" (56.40mm x 56.40mm)","23","0.250"" (6.35mm)","0.984"" (25.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-10°C ~ 50°C","1.7 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/29SM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/29SM-K550-00V.jpg,P14305-ND,29SM-K550-00V,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,11,0,"76.67000","0","1","29SM","Active","Hybrid","Unipolar","24VDC","1.5A","200","1.8°","±5%","53.82 / 380","Round - 2.795"" Dia (71.00mm)","-","0.315"" (8.00mm)","0.984"" (25.00mm)","1.856"" (47.14mm)","Wire Leads","-10°C ~ 50°C","2.1 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/29SM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/29SM-K379-00V.jpg,P14309-ND,29SM-K379-00V,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,13,0,"85.30000","0","1","29SM","Active","Hybrid","Unipolar","24VDC","1.9A","200","1.8°","±5%","116.14 / 820","Round - 2.795"" Dia (71.00mm)","-","0.315"" (8.00mm)","0.984"" (25.00mm)","1.856"" (47.14mm)","Wire Leads","-10°C ~ 50°C","1.75 Ohms","Round Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1140%2F_datasheet%2FPD-1140_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD42-1-1140-CANOPEN.jpg,1460-1103-ND,PD42-1-1140-CANOPEN,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,2,0,"236.66000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","2A","200","1.8°","±5%","31.2 / 220","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","-","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
http://www.makeblock.com.ph/catalogue.pdf,-,1890-1073-ND,81057,"Makeblock Co., LTD.",57BYG STEPPER MOTOR,29,0,"22.99000","0","1","-","Active","-","-","-","2.8A","200","1.8°","-","169.96 / 1200","Square - 2.217"" x 2.217"" (56.30mm x 56.30mm)","-","0.315"" (8.00mm)","0.827"" (21.00mm)","1.850"" (47.00mm)","Wire Leads","-","-","Flatted Shaft"
https://www.cui.com/product/resource/digikeypdf/nema14-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA14-AMT112S.jpg,102-4711-ND,NEMA14-10-08D-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,9,0,"102.70000","0","1","NEMA14-AMT112S","Active","-","Bipolar","24 ~ 48VDC","350mA","200","1.8°","±0.2%","7.5 / 52.96","Square - 1.390"" x 1.390"" (35.30mm x 35.30mm)","14","0.197"" (5.00mm)","0.602"" (15.30mm)","1.023"" (26.00mm)","Connector","-20°C ~ 50°C","8.5 Ohms","Integrated Encoder"
https://www.cui.com/product/resource/digikeypdf/nema14-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA14-AMT112S.jpg,102-4710-ND,NEMA14-10-04D-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,6,0,"102.70000","0","1","NEMA14-AMT112S","Active","-","Bipolar","24 ~ 48VDC","450mA","200","1.8°","±0.2%","7.5 / 52.96","Square - 1.390"" x 1.390"" (35.30mm x 35.30mm)","14","0.197"" (5.00mm)","0.602"" (15.30mm)","1.023"" (26.00mm)","Connector","-20°C ~ 50°C","3.8 Ohms","Integrated Encoder"
https://www.cui.com/product/resource/digikeypdf/nema17-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA17-AMT112S.jpg,102-4717-ND,NEMA17-13-04PD-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,21,0,"104.54000","0","1","NEMA17-AMT112S","Active","-","Bipolar","24 ~ 48VDC","1.3A","200","1.8°","±0.2%","42 / 296.59","Square - 1.669"" x 1.669"" (42.40mm x 42.40mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (31.00mm)","Connector","-20°C ~ 50°C","2.5 Ohms","Integrated Encoder, Flatted Shaft"
https://www.cui.com/product/resource/digikeypdf/nema17-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA17-AMT112S.jpg,102-4718-ND,NEMA17-13-04SD-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,6,0,"104.54000","0","1","NEMA17-AMT112S","Active","-","Bipolar","24 ~ 48VDC","670mA","200","1.8°","±0.2%","42 / 296.59","Square - 1.669"" x 1.669"" (42.40mm x 42.40mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (31.00mm)","Connector","-20°C ~ 50°C","9.9 Ohms","Integrated Encoder, Flatted Shaft"
https://www.cui.com/product/resource/digikeypdf/nema17-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA17-AMT112S.jpg,102-4715-ND,NEMA17-16-06PD-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,20,0,"110.73000","0","1","NEMA17-AMT112S","Active","-","Bipolar","24 ~ 48VDC","1.4A","200","1.8°","±0.2%","63 / 444.88","Square - 1.669"" x 1.669"" (42.40mm x 42.40mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (31.00mm)","Connector","-20°C ~ 50°C","2.7 Ohms","Integrated Encoder, Flatted Shaft"
https://www.cui.com/product/resource/digikeypdf/nema17-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA17-AMT112S.jpg,102-4716-ND,NEMA17-16-06SD-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,10,0,"110.73000","0","1","NEMA17-AMT112S","Active","-","Bipolar","24 ~ 48VDC","700mA","200","1.8°","±0.2%","63 / 444.88","Square - 1.669"" x 1.669"" (42.40mm x 42.40mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (31.00mm)","Connector","-20°C ~ 50°C","10.8 Ohms","Integrated Encoder, Flatted Shaft"
https://www.cui.com/product/resource/digikeypdf/nema11-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA14-AMT112S.jpg,102-4705-ND,NEMA11-13-01D-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,5,0,"111.40000","0","1","NEMA11-AMT112S","Active","-","Bipolar","24VDC","670mA","200","1.8°","±0.2%","9.2 / 64.97","Square - 1.110"" x 1.110"" (28.20mm x 28.20mm)","11","0.197"" (5.00mm)","0.791"" (20.10mm)","0.909"" (23.10mm)","Connector","-20°C ~ 50°C","5.7 Ohms","Integrated Encoder"
https://www.cui.com/product/resource/digikeypdf/nema11-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA14-AMT112S.jpg,102-4706-ND,NEMA11-18-01D-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,10,0,"116.19000","0","1","NEMA11-AMT112S","Active","-","Bipolar","24VDC","670mA","200","1.8°","±0.2%","13.7 / 96.74","Square - 1.110"" x 1.110"" (28.20mm x 28.20mm)","11","0.197"" (5.00mm)","0.791"" (20.10mm)","0.909"" (23.10mm)","Connector","-20°C ~ 50°C","7.1 Ohms","Integrated Encoder"
https://www.cui.com/product/resource/digikeypdf/nema11-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA14-AMT112S.jpg,102-4707-ND,NEMA11-18-02D-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,6,0,"116.19000","0","1","NEMA11-AMT112S","Active","-","Bipolar","24VDC","1.3A","200","1.8°","±0.2%","13.7 / 96.74","Square - 1.110"" x 1.110"" (28.20mm x 28.20mm)","11","0.197"" (5.00mm)","0.791"" (20.10mm)","0.909"" (23.10mm)","Connector","-20°C ~ 50°C","1.3 Ohms","Integrated Encoder"
https://www.cui.com/product/resource/digikeypdf/nema17-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA17-AMT112S.jpg,102-4714-ND,NEMA17-19-07SD-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,14,0,"116.91000","0","1","NEMA17-AMT112S","Active","-","Bipolar","24 ~ 48VDC","2.1A","200","1.8°","±0.2%","83 / 586.11","Square - 1.669"" x 1.669"" (42.40mm x 42.40mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (31.00mm)","Connector","-20°C ~ 50°C","1.3 Ohms","Integrated Encoder, Flatted Shaft"
https://www.cui.com/product/resource/digikeypdf/nema11-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA14-AMT112S.jpg,102-4708-ND,NEMA11-20-01D-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,6,0,"121.14000","0","1","NEMA11-AMT112S","Active","-","Bipolar","24VDC","670mA","200","1.8°","±0.2%","16.6 / 117.22","Square - 1.110"" x 1.110"" (28.20mm x 28.20mm)","11","0.197"" (5.00mm)","0.791"" (20.10mm)","0.909"" (23.10mm)","Connector","-20°C ~ 50°C","8.6 Ohms","Integrated Encoder"
https://www.cui.com/product/resource/digikeypdf/nema23-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA23-AMT112S.jpg,102-4724-ND,NEMA23-17-01SD-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,8,0,"121.87000","0","1","NEMA23-AMT112S","Active","-","Bipolar","24 ~ 80VDC","1.4A","200","1.8°","±0.2%","85 / 600.23","Square - 2.252"" x 2.252"" (57.20mm x 57.20mm)","23","0.250"" (6.35mm)","0.811"" (20.60mm)","1.819"" (46.20mm)","Connector","-20°C ~ 50°C","2.8 Ohms","Integrated Encoder, Flatted Shaft"
https://www.cui.com/product/resource/digikeypdf/nema23-amt112s.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_NEMA23-AMT112S.jpg,102-4726-ND,NEMA23-17-15SD-AMT112S,CUI Inc.,STEPPER MOTOR W/ INCREMENTAL ENC,8,0,"121.87000","0","1","NEMA23-AMT112S","Active","-","Bipolar","24 ~ 80VDC","2.1A","200","1.8°","±0.2%","85 / 600.23","Square - 2.252"" x 2.252"" (57.20mm x 57.20mm)","23","0.250"" (6.35mm)","0.811"" (20.60mm)","1.819"" (46.20mm)","Connector","-20°C ~ 50°C","1.2 Ohms","Integrated Encoder, Flatted Shaft"
