Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Card Reader Type","Interface","Card Read/Write Type and Tracks","Card Reading Direction","Card Standard","Card Speed","Supply Voltage"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-1870MA8R.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-1870MA8R.jpg,PCR117-ND,ZU-1870MA8R,Panasonic - ATG,CARD READER 2 HEAD INSERT RS232,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","RS-232","Read Tracks 1, 2","Ejection","ISO 1, ISO 2","10 ~ 120 cm/s","4.75V ~ 12V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-1870MA8R2.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-1870MA8R2.jpg,PCR118-ND,ZU-1870MA8R2,Panasonic - ATG,CARD READER 2 HEAD INSERT RS232,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","RS-232","Read Tracks 1, 2","Ejection","ISO 1, ISO 2","10 ~ 120 cm/s","4.75V ~ 12V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-9A36B11.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-9A36B11.jpg,PCR119-ND,ZU-9A36B11,Panasonic - ATG,CARD READER 3 TRACK FULL INSERT,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","TTL","Read Tracks 1, 2, 3","Ejection","ISO 1, ISO 2, ISO 7810, ISO 7811","15 ~ 70 cm/s","5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-1870MU.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-1870MU.JPG,PCR222-ND,ZU-1870MU,Panasonic - ATG,CARD READER FULL INSERT 2 HD USB,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","USB","Read Tracks 1, 2","Insertion/Ejection","ISO 1, ISO 2","10 ~ 120 cm/s","4.75V ~ 5.25V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Sensors%20PDFs/ZU-M1242.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-M1242L1.JPG,PCR223-ND,ZU-M1242L1,Panasonic - ATG,CARD READER 2 TRACK SWIPE LL HD,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Swipe","CMOS","Read Tracks 1, 2","Swipe (Single Direction)","ISO 1, ISO 2","10 ~ 150 cm/s","5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-M2121S453.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-M2121S453.JPG,ZU-M2121S453-ND,ZU-M2121S453,Panasonic - ATG,CARD READER HALF INSERT 1 TRACK,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","CMOS","Read Tracks 2","Insertion","ISO 2","10 ~ 120 cm/s","4.5V ~ 5.5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Sensors%20PDFs/ZU-M1%20Series%20.pdf,-,ZU-M1131L1-ND,ZU-M1131L1,Panasonic - ATG,CARD READER 1 TRACK SWIPE LL HD,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Swipe","-","Read Tracks 3","Swipe (Single Direction)","ISO 3","-","5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-1870MU1.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-1870MU1.JPG,PCR226-ND,ZU-1870MU1,Panasonic - ATG,CARD READER FULL INSERT 2 HD USB,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","USB","Read Tracks 1, 2","Insertion/Ejection","ISO 1, ISO 2","10 ~ 120 cm/s","4.75V ~ 5.25V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-98330SEA.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-98330SEA.JPG,PCR228-ND,ZU-98330SEA,Panasonic - ATG,CARD READER 3 TRACK + SMART CARD,0,0,"Obsolete","0","200","-","Obsolete","Magnetic, Smart Card (IC)","CMOS","Read Tracks 1, 2, 3, R/W Smart Card","Ejection","ISO 1, ISO 2, ISO 3","10 ~ 80 cm/s","4.5V ~ 7.5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-98302SEA.pdf,-,PCR229-ND,ZU-98302SEA,Panasonic - ATG,CARD READER TRACK 2 + SMART CARD,0,0,"Obsolete","0","200","-","Obsolete","Magnetic, Smart Card (IC)","CMOS","Read Tracks 2, R/W Smart Card","Ejection","ISO 2","10 ~ 80 cm/s","4.5V ~ 5.5V"
-,-,ZU-9A36111-ND,ZU-9A36111,Panasonic - ATG,READER CONTACTLESS,0,0,"Obsolete","0","100","ZU","Obsolete","Magnetic, Smart Card (IC)","-","Read Tracks 1, 2, 3, R/W Smart Card","Insertion/Ejection","-","-","5V"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/854_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_854.jpg,1528-1274-ND,854,Adafruit Industries LLC,MAGSTRIPE CARD READER 2TRACK PS2,0,0,"Obsolete","0","1","-","Obsolete","Magnetic - Swipe","PS/2","Read Tracks 1, 2","Swipe (Both Directions)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/JT-0300WB-2.pdf,-,JT-0300WB-2-ND,JT-0300WB-2,Cherry Americas LLC,SMART CARD READER DUAL INTERFACE,0,0,"Obsolete","0","10","-","Obsolete","Magnetic - Swipe","USB","Smart Card - R/W","Swipe (Both Directions)","ISO 7816","-","-"
