Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shell Size - Insert","Features","Color","Material","Large Diameter Supplied","Large Diameter Recovered","Small Diameter Supplied","Small Diameter Recovered","Large Recovered Length","Small Recovered Length","Total Length Supplied","Total Length Recovered"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/CAP22?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/CAP22-BK078.jpg,CAP22BK078-ND,CAP22 BK078,Alpha Wire,HEATSHRINK CAP 2:1 SR-PO,41,6,"4.58000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/806798-000.JPG,222A111-25-0-ND,222A111-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ11 BLACK,63,0,"14.96000","0","1","Thermofit 222A1","Active","Boot - 90°","11","-","Black","Elastomer, Semi-Rigid","0.701"" (17.81mm)","0.311"" (7.90mm)","0.701"" (17.81mm)","0.150"" (3.81mm)","0.791"" (20.10mm)","0.449"" (11.40mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202C611thru663&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/806087-000.JPG,202C611-71-0-ND,202C611-71-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ11 BLACK,98,0,"16.32000","0","1","Thermofit 202C6","Active","Boot","11","-","Black","Polyolefin (PO), Flexible","0.690"" (17.53mm)","0.272"" (6.91mm)","0.559"" (14.20mm)","0.190"" (4.83mm)","-","0.690"" (17.53mm)","-","4.752"" (120.70mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202D121thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202D132-4%5E42-0.JPG,A101237-ND,202D132-4/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ32 BLACK W/LIP,86,0,"16.32000","0","1","Thermofit 202D1","Active","Boot","32","-","Black","Polyolefin (PO), Flexible","1.118"" (28.40mm)","0.563"" (14.30mm)","1.118"" (28.40mm)","0.260"" (6.60mm)","1.091"" (27.71mm)","0.850"" (21.59mm)","-","2.161"" (54.89mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/814316-000.JPG,202A121-25/225-0-ND,202A121-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ21 BLACK,50,0,"17.12000","0","1","Thermofit 202A1","Active","Boot","21","Adhesive Coating, Fluid Resistant","Black","Elastomer, Semi-Rigid","0.969"" (24.61mm)","0.390"" (9.91mm)","0.969"" (24.61mm)","0.209"" (5.31mm)","0.858"" (21.79mm)","-","-","1.500"" (38.10mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202A1-28.4.jpg,202A132-25/225-0-ND,202A132-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ32 BLACK,31,0,"18.12000","0","1","Thermofit 202A1","Active","Boot","32","Adhesive Coating, Fluid Resistant","Black","Elastomer, Semi-Rigid","1.118"" (28.40mm)","0.559"" (14.20mm)","1.118"" (28.40mm)","0.260"" (6.60mm)","1.098"" (27.89mm)","0.630"" (16.00mm)","-","2.020"" (51.31mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202D921thru963&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/627133-000.JPG,202D921-25/225-0-ND,202D921-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ21 BLACK,50,0,"18.81000","0","1","Thermofit 202D9","Active","Boot","21","Abrasion Resistant, Adhesive Coating, Chemical Resistant, Flame Retardant, Fluid Resistant, Heat Resistant, Lip, Strain Resist","Black","Elastomer, Semi-Rigid, Irradiated","0.760"" (19.30mm)","0.512"" (13.00mm)","0.250"" (6.35mm)","0.083"" (2.11mm)","0.618"" (15.70mm)","1.480"" (37.59mm)","-","2.370"" (60.20mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/879265-000.JPG,202K142-25/86-0-ND,202K142-25/86-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ42 BLACK,25,0,"19.61000","0","1","Thermofit 202K1","Active","Boot","42","Adhesive Coating, Fluid Resistant, Lip","Black","Elastomer, Semi-Rigid","1.220"" (30.99mm)","0.710"" (18.03mm)","1.220"" (30.99mm)","0.280"" (7.11mm)","1.380"" (35.05mm)","0.984"" (24.99mm)","-","2.640"" (67.06mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/222A1-32.5.jpg,222A142-25-0-ND,222A142-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ42 BLACK,8,0,"19.70000","0","1","Thermofit 222A1","Active","Boot - 90°","42","-","Black","Elastomer, Semi-Rigid","1.280"" (32.51mm)","0.681"" (17.30mm)","1.280"" (32.51mm)","0.272"" (6.91mm)","1.201"" (30.51mm)","0.980"" (24.89mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/814554-000.JPG,222A121-25-0-ND,222A121-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ21 BLACK,36,0,"19.76000","0","1","Thermofit 222A1","Active","Boot - 90°","21","-","Black","Elastomer, Semi-Rigid","0.980"" (24.89mm)","0.402"" (10.21mm)","0.980"" (24.89mm)","0.209"" (5.31mm)","0.890"" (22.61mm)","0.579"" (14.71mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202D211thru299&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202D211-4-0.jpg,A101239-ND,202D211-4-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ11 BLACK W/LIP,65,0,"19.81000","0","1","Thermofit 202D2","Active","Boot","11","Flame Retardant, Fluid Resistant, Heat Resistant, Lip","Black","Polyolefin (PO), Flexible, Irradiated","0.882"" (22.40mm)","0.449"" (11.40mm)","0.882"" (22.40mm)","0.252"" (6.40mm)","0.559"" (14.20mm)","3.402"" (86.41mm)","-","4.169"" (105.89mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202D121thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/814344-000.JPG,202D121-3/42-0-ND,202D121-3/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ21 BLACK,28,0,"19.87000","0","1","Thermofit 202D1","Active","Boot","21","-","Black","Polyolefin (PO), Semi-Rigid","0.917"" (23.29mm)","0.413"" (10.49mm)","0.917"" (23.29mm)","0.220"" (5.59mm)","0.831"" (21.11mm)","-","-","1.500"" (38.10mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222K121thru185-25/225&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/222K121-25%5E225-0.JPG,A101254-ND,222K121-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ21 BLACK,40,0,"20.35000","0","1","Thermofit 222K1","Active","Boot - 90°","21","Adhesive Coating, Fluid Resistant","Black","Elastomer, Semi-Rigid","0.941"" (23.90mm)","0.409"" (10.39mm)","0.941"" (23.90mm)","0.220"" (5.59mm)","0.984"" (24.99mm)","0.630"" (16.00mm)","-","0.984"" (24.99mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202D211thru299&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202D232-4-0.jpg,A101241-ND,202D232-4-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ32 BLACK W/LIP,60,0,"20.68000","0","1","Thermofit 202D2","Active","Boot","32","Flame Retardant, Fluid Resistant, Heat Resistant, Lip","Black","Polyolefin (PO), Flexible, Irradiated","1.161"" (29.49mm)","0.740"" (18.80mm)","1.161"" (29.49mm)","0.331"" (8.41mm)","0.610"" (15.49mm)","4.441"" (112.80mm)","-","5.461"" (138.71mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202K153-25-0.jpg,A101252-ND,202K153-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ53 BLACK W/LIP,29,0,"20.75000","0","1","Thermofit 202K1","Active","Boot","53","Fluid Resistant, Lip","Black","Elastomer, Semi-Rigid","1.420"" (36.07mm)","0.882"" (22.40mm)","1.420"" (36.07mm)","0.331"" (8.41mm)","1.654"" (42.01mm)","1.180"" (29.97mm)","-","3.150"" (80.01mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/222A1-32.5.jpg,222A142-3/42-0-ND,222A142-3/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ42 BLACK,71,0,"20.83000","0","1","Thermofit 222A1","Active","Boot - 90°","42","-","Black","Polyolefin (PO), Semi-Rigid","1.280"" (32.51mm)","0.681"" (17.30mm)","1.280"" (32.51mm)","0.272"" (6.91mm)","1.201"" (30.51mm)","0.980"" (24.89mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/879264-000.JPG,202K153-25/86-0-ND,202K153-25/86-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ53 BLACK,15,0,"20.83000","0","1","Thermofit 202K1","Active","Boot","53","Adhesive Coating, Fluid Resistant, Lip","Black","Elastomer, Semi-Rigid","1.420"" (36.07mm)","0.882"" (22.40mm)","1.420"" (36.07mm)","0.331"" (8.41mm)","1.654"" (42.01mm)","1.180"" (29.97mm)","-","3.150"" (80.01mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202A1-42.7.jpg,202A163-3-0-ND,202A163-3-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ63 BLACK,54,0,"20.94000","0","1","Thermofit 202A1","Active","Boot","63","Flame Retardant","Black","Polyolefin (PO), Semi-Rigid","1.681"" (42.70mm)","1.079"" (27.41mm)","1.681"" (42.70mm)","0.370"" (9.40mm)","2.469"" (62.71mm)","0.992"" (25.20mm)","-","3.902"" (99.11mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/812846-000.JPG,222K152-3-0-ND,222K152-3-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ52 BLACK,25,0,"21.42000","0","1","Thermofit 222K1","Active","Boot - 90°","52","-","Black","Polyolefin (PO), Semi-Rigid","1.420"" (36.07mm)","0.882"" (22.40mm)","1.420"" (36.07mm)","0.331"" (8.41mm)","1.496"" (38.00mm)","0.984"" (24.99mm)","-","1.810"" (45.97mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/823748-000.JPG,382A012-4-0-ND,382A012-4-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ12,11,0,"21.57000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","12","-","Black","Polyolefin (PO), Flexible","0.520"" (13.21mm)","0.240"" (6.10mm)","0.260"" (6.60mm)","0.130"" (3.30mm)","0.882"" (22.40mm)","0.760"" (19.30mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202K153-25225-0.JPG,A101251-ND,202K153-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ53 BLACK W/LIP,90,0,"21.92000","0","1","Thermofit 202K1","Active","Boot","53","Adhesive Coating, Fluid Resistant, Lip","Black","Elastomer, Semi-Rigid","1.420"" (36.07mm)","0.882"" (22.40mm)","1.420"" (36.07mm)","0.331"" (8.41mm)","1.654"" (42.01mm)","1.180"" (29.97mm)","-","3.150"" (80.01mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/812860-000.JPG,202K163-3-0-ND,202K163-3-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ63 BLACK,88,0,"22.03000","0","1","Thermofit 202K1","Active","Boot","63","Flame Retardant, Lip","Black","Polyolefin (PO), Semi-Rigid","1.690"" (42.93mm)","1.110"" (28.19mm)","1.690"" (42.93mm)","0.390"" (9.91mm)","2.402"" (61.01mm)","1.180"" (29.97mm)","-","3.898"" (99.01mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202K163-25-0.JPG,A101253-ND,202K163-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ63 BLACK W/LIP,7,0,"22.03000","0","1","Thermofit 202K1","Active","Boot","63","Fluid Resistant, Lip","Black","Elastomer, Semi-Rigid","1.690"" (42.93mm)","1.110"" (28.19mm)","1.690"" (42.93mm)","0.390"" (9.91mm)","2.402"" (61.01mm)","1.180"" (29.97mm)","-","3.898"" (99.01mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/222A121-3%5E42-0.JPG,A104620-ND,222A121-3/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ21 BLACK,28,0,"22.35000","0","1","Thermofit 222A1","Active","Boot - 90°","21","Adhesive Coating","Black","Polyolefin (PO), Semi-Rigid","0.980"" (24.89mm)","0.402"" (10.21mm)","0.980"" (24.89mm)","0.209"" (5.31mm)","0.890"" (22.61mm)","0.579"" (14.71mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222D921thru963&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/806686-000.JPG,222D921-25-0-ND,222D921-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ21 BLACK,17,0,"22.81000","0","1","Thermofit 222D9","Active","Boot - 90°","21","Abrasion Resistant, Chemical Resistant, Flame Retardant, Fluid Resistant, Heat Resistant, Lip, Strain Resistant","Black","Elastomer, Semi-Rigid, Irradiated","0.760"" (19.30mm)","0.512"" (13.00mm)","0.250"" (6.35mm)","0.083"" (2.11mm)","0.642"" (16.31mm)","0.858"" (21.79mm)","-","1.752"" (44.50mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202D921thru963&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/806684-000.JPG,202D953-25-0-ND,202D953-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ53 BLACK,34,0,"22.85000","0","1","Thermofit 202D9","Active","Boot","53","Abrasion Resistant, Chemical Resistant, Flame Retardant, Fluid Resistant, Heat Resistant, Lip, Strain Resistant","Black","Elastomer, Semi-Rigid, Irradiated","1.346"" (34.19mm)","1.024"" (26.00mm)","0.378"" (9.60mm)","0.122"" (3.10mm)","0.823"" (20.90mm)","2.012"" (51.10mm)","-","3.319"" (84.30mm)"
-,//media.digikey.com/Photos/TE%20Connectivity/222K132-25-0.JPG,A101257-ND,222K132-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ32 BLACK,28,0,"23.62000","0","1","Thermofit 222K1","Active","Boot - 90°","32","-","Black","Elastomer, Semi-Rigid","1.180"" (29.97mm)","0.559"" (14.20mm)","1.180"" (29.97mm)","0.232"" (5.89mm)","1.060"" (26.92mm)","0.790"" (20.07mm)","-","1.260"" (32.00mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/823748-000.JPG,382A012-25/86-0-ND,382A012-25/86-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ12,31,0,"24.14000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","12","-","Black","Elastomer, Semi-Rigid","0.520"" (13.21mm)","0.240"" (6.10mm)","0.260"" (6.60mm)","0.130"" (3.30mm)","0.882"" (22.40mm)","0.760"" (19.30mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=301A028&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/497802-000.JPG,A104750-ND,301A028-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 T SZ28,19,0,"25.33000","0","1","Thermofit 301A0","Active","Boot, Transition - Breakout, 2:1 (T)","28","Abrasion Resistant, Chemical Resistant, Flame Retardant, Fluid Resistant, Heat Resistant, Strain Resistant","Black","Elastomer, Semi-Rigid, Irradiated","0.790"" (20.07mm)","0.402"" (10.21mm)","0.790"" (20.07mm)","0.402"" (10.21mm)","1.770"" (44.96mm)","1.770"" (44.96mm)","-","3.540"" (89.92mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/878515-000.JPG,222K163-3-0-ND,222K163-3-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ63 BLACK,51,0,"25.37000","0","1","Thermofit 222K1","Active","Boot - 90°","63","-","Black","Polyolefin (PO), Semi-Rigid","1.690"" (42.93mm)","1.110"" (28.19mm)","1.690"" (42.93mm)","0.390"" (9.91mm)","1.770"" (44.96mm)","1.180"" (29.97mm)","-","2.170"" (55.12mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX-100&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202K1-36.1.jpg,202K153-100/180-0-ND,202K153-100/180-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ53 BLACK,14,0,"25.59000","0","1","Thermofit 202K1","Active","Boot","53","Adhesive Coating, Lip","Black","Polyolefin (PO), Semi-Flexible, Halogen Free","1.420"" (36.07mm)","0.882"" (22.40mm)","0.830"" (21.08mm)","0.331"" (8.41mm)","1.654"" (42.01mm)","1.180"" (29.97mm)","-","3.150"" (80.01mm)"
-,//media.digikey.com/Photos/TE%20Connectivity/222K142-25-0.JPG,A101259-ND,222K142-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ42 BLACK,16,0,"25.79000","0","1","Thermofit 222K1","Active","Boot - 90°","42","-","Black","Elastomer, Semi-Rigid","1.220"" (30.99mm)","0.710"" (18.03mm)","1.220"" (30.99mm)","0.280"" (7.11mm)","1.220"" (30.99mm)","0.790"" (20.07mm)","-","1.540"" (39.12mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=301A011thru048&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/823225-000.JPG,301A022-3-0-ND,301A022-3-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 T SZ22,39,0,"25.90000","0","1","Thermofit 301A0","Active","Boot, Transition - Breakout, 2:1 (T)","22","Flame Retardant, Fluid Resistant, Heat Resistant","Black","Polyolefin (PO), Semi-Rigid, Irradiated","0.520"" (13.21mm)","0.272"" (6.91mm)","0.520"" (13.21mm)","0.272"" (6.91mm)","1.161"" (29.49mm)","1.161"" (29.49mm)","-","2.311"" (58.70mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=301A011thru048&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/823225-000.JPG,301A022-4/42-0-ND,301A022-4/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 T SZ22,23,0,"27.06000","0","1","Thermofit 301A0","Active","Boot, Transition - Breakout, 2:1 (T)","22","Adhesive Coating, Flame Retardant, Fluid Resistant, Heat Resistant, Strain Resistant","Black","Polyolefin (PO), Flexible, Irradiated","0.520"" (13.21mm)","0.272"" (6.91mm)","0.520"" (13.21mm)","0.272"" (6.91mm)","1.161"" (29.49mm)","1.161"" (29.49mm)","-","2.311"" (58.70mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/222K132-25%5E225-0.JPG,A101256-ND,222K132-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ32 BLACK,8,0,"28.32000","0","1","Thermofit 222K1","Active","Boot - 90°","32","Adhesive Coating, Fluid Resistant","Black","Elastomer, Semi-Rigid","1.180"" (29.97mm)","0.559"" (14.20mm)","1.180"" (29.97mm)","0.232"" (5.89mm)","1.060"" (26.92mm)","0.790"" (20.07mm)","-","1.260"" (32.00mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202C611thru663&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/806251-000.JPG,202C621-50-0-ND,202C621-50-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ21 BLACK,28,0,"29.53000","0","1","Thermofit 202C6","Active","Boot","21","-","Black","VPB, Flexible","0.882"" (22.40mm)","0.461"" (11.71mm)","0.701"" (17.81mm)","0.319"" (8.10mm)","-","0.780"" (19.81mm)","-","5.252"" (133.40mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/382A0-23.JPG,382A023-4-0-ND,382A023-4-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ23,74,0,"30.54000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","23","-","Black","Polyolefin (PO), Flexible","1.060"" (26.92mm)","0.488"" (12.40mm)","0.520"" (13.21mm)","0.240"" (6.10mm)","1.500"" (38.10mm)","1.700"" (43.18mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX-100&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/041618-000.JPG,202K142-100-0-ND,202K142-100-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ42 BLACK,9,0,"30.65000","0","1","Thermofit 202K1","Active","Boot","42","Fluid Resistant, Lip","Black","Polyolefin (PO), Semi-Flexible, Halogen Free","1.220"" (30.99mm)","0.710"" (18.03mm)","0.710"" (18.03mm)","0.280"" (7.11mm)","1.380"" (35.05mm)","0.984"" (24.99mm)","-","2.640"" (67.06mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/382A023-25-0.JPG,A101264-ND,382A023-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ23,16,0,"30.80000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","23","-","Black","Elastomer, Semi-Rigid","1.060"" (26.92mm)","0.488"" (12.40mm)","0.520"" (13.21mm)","0.240"" (6.10mm)","1.500"" (38.10mm)","1.700"" (43.18mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=342A012thru058&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/878518-000.JPG,342A012-25/225-0-ND,342A012-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 45DEG SZ12,17,0,"32.34000","0","1","Thermofit 342A0","Active","Boot, Transition - Side Breakout, 45°","12","Adhesive Coating","Black","Elastomer, Semi-Rigid","0.520"" (13.21mm)","0.272"" (6.91mm)","0.260"" (6.60mm)","0.142"" (3.61mm)","0.902"" (22.91mm)","0.921"" (23.39mm)","-","1.941"" (49.30mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222K121thru185-25/225&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/222K142-25225-0.JPG,A101258-ND,222K142-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ42 BLACK,16,0,"32.49000","0","1","Thermofit 222K1","Active","Boot - 90°","42","Adhesive Coating, Fluid Resistant","Black","Elastomer, Semi-Rigid","1.220"" (30.99mm)","0.710"" (18.03mm)","1.220"" (30.99mm)","0.280"" (7.11mm)","1.220"" (30.99mm)","0.790"" (20.07mm)","-","1.540"" (39.12mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/382A023-342-0.JPG,A101265-ND,382A023-3/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ23,39,0,"33.37000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","23","-","Black","Polyolefin (PO), Semi-Rigid","1.060"" (26.92mm)","0.488"" (12.40mm)","0.520"" (13.21mm)","0.240"" (6.10mm)","1.500"" (38.10mm)","1.700"" (43.18mm)","-","-"
