Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Usage","Dimensions - Overall","Material","Features"
http://documents.protektivepak.com/PDF/37000.pdf,-,37000-ND,37000,Desco,SHIPPER ESD SMALL PROTEKTIVE PAK,0,0,"1.49000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","2.50"" L x 1.25"" W x 1.00"" H (63.5mm x 31.8mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37000.pdf,-,37001-ND,37001,Desco,SHIPPER ESD SMALL 3-1/2X1-1/4X1,0,0,"1.66000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","3.50"" L x 1.25"" W x 1.00"" H (88.9mm x 31.8mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37000.pdf,"//media.digikey.com/photos/Desco%20Photos/MFG_3700(2,3).jpg",37002-ND,37002,Desco,SHIPPER ESD SMALL 4-1/2X1-1/4X1,0,0,"1.73000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","4.50"" L x 1.25"" W x 1.00"" H (114.3mm x 31.8mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37000.pdf,-,37008-ND,37008,Desco,SHIPPER ESD SMALL 2-3/4X2-3/4X1,0,0,"1.84000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","2.75"" L x 2.75"" W x 1.00"" H (69.9mm x 69.9mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,-,37100-ND,37100,Desco,BOX OPEN BIN 5-3/4X3-3/4X2-11/16,3,0,"2.06000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","5.75"" L x 3.75"" W x 2.69"" H (146.1mm x 95.3mm x 68.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/39508.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_39508.jpg,39508-ND,39508,Desco,SHPPR BKFM 2-1/2X1-1/4X1,0,0,"2.07061","0","360","Protektive Pak®","Active","Box","Storage, Transport","2.50"" L x 1.25"" W x 1.00"" H (63.5mm x 31.8mm x 25.4mm)","Corrugated Fiberboard","Conductive, Dissipative Foam Insert"
http://documents.protektivepak.com/PDF/37050.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_37050.jpg,37050-ND,37050,Desco,SHIPPER CIRC BD BOX 4X4X2-1/8,0,0,"2.17000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","4.00"" L x 4.00"" W x 2.13"" H (101.6mm x 101.6mm x 54.0mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37000.pdf,-,37007-ND,37007,Desco,SHIPPER ESD SMALL 5-1/2X1-1/2X1,0,0,"2.35000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","5.50"" L x 1.50"" W x 1.00"" H (139.7mm x 38.1mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37052-ND,37052,Desco,SHIPPER CIRC BD BOX 7X5X1-1/2,0,0,"2.47000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","7.00"" L x 5.00"" W x 1.50"" H (177.8mm x 127.0mm x 38.1mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37054-ND,37054,Desco,SHIPPER CIRC BD BOX 7X5X2-1/2,0,0,"2.48000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","7.00"" L x 5.00"" W x 2.50"" H (177.8mm x 127.0mm x 63.5mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,-,37115-ND,37115,Desco,BOX OPEN BIN 18X2X4-1/2,0,0,"2.60000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","18.00"" L x 2.00"" W x 4.50"" H (457.2mm x 50.8mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37050.pdf,-,37058-ND,37058,Desco,SHIPPR CIR BD 10-1/2X8-1/2X1-1/2,0,0,"2.61000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","10.50"" L x 8.50"" W x 1.50"" H (266.7mm x 215.9mm x 38.1mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_37107.jpg,37107-ND,37107,Desco,BOX OPEN BIN 18X4X4-1/2,0,0,"2.61000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","18.00"" L x 4.00"" W x 4.50"" H (457.2mm x 101.6mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37000.pdf,"//media.digikey.com/photos/Desco%20Photos/MFG_3700(4,9).jpg",37004-ND,37004,Desco,SHIPPER ESD SMALL 3-3/4X3-3/4X1,0,0,"2.69000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","3.75"" L x 3.75"" W x 1.00"" H (95.3mm x 95.3mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37056-ND,37056,Desco,SHIPPER CIRC BD BX 9X7-1/2X2-1/2,0,0,"2.86000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","9.00"" L x 7.50"" W x 2.50"" H (228.6mm x 190.5mm x 63.5mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37060-ND,37060,Desco,SHIPPR CIR BD 10-1/2X8-1/2X2-1/2,0,0,"2.87000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","10.50"" L x 8.50"" W x 2.50"" H (266.7mm x 215.9mm x 63.5mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_37101.jpg,37101-ND,37101,Desco,BOX OPEN BIN 9X4X4-1/2,0,0,"3.09000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","9.00"" L x 4.00"" W x 4.50"" H (228.6mm x 101.6mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37100.pdf,-,37103-ND,37103,Desco,BOX OPEN BIN 12X4X4-1/2,0,0,"3.10000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","12.00"" L x 4.00"" W x 4.50"" H (304.8mm x 101.6mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37000.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_37005.jpg,37005-ND,37005,Desco,SHIPPER ESD SMALL PROTEKTIVE PAK,0,0,"3.12000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","7.00"" L x 3.50"" W x 1.00"" H (177.8mm x 88.9mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,-,37102-ND,37102,Desco,BOX OPEN BIN 12X2X4-1/2,0,0,"3.17000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","12.00"" L x 2.00"" W x 4.50"" H (304.8mm x 50.8mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/39508.pdf,-,39542-ND,39542,Desco,SHPPR BKFM 3-3/4X3-3/4X1,0,0,"3.17217","0","92","Protektive Pak®","Active","Box","Storage, Transport","3.75"" L x 3.75"" W x 1.00"" H (95.3mm x 95.3mm x 25.4mm)","Corrugated Fiberboard","Conductive, Dissipative Foam Insert"
http://documents.protektivepak.com/PDF/37050.pdf,-,37062-ND,37062,Desco,SHIPPR CIRBD 12-1/2X10-1/2X1-1/2,0,0,"3.24000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","12.50"" L x 10.50"" W x 1.50"" H (317.5mm x 266.7mm x 38.1mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,-,37111-ND,37111,Desco,BOX OPEN BIN 24-3/4X4-1/4X4-1/2,0,0,"3.33000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","24.75"" L x 4.25"" W x 4.50"" H (628.7mm x 108.0mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37000.pdf,-,37010-ND,37010,Desco,SHIPPER ESD SMALL 4-1/2X3-3/4X1,0,0,"3.33540","0","250","Protektive Pak®","Active","Box","Storage, Shipping","4.50"" L x 3.75"" W x 1.00"" H (114.3mm x 95.3mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37000.pdf,-,37006-ND,37006,Desco,SHIPPER ESD SMALL 4-1/8X3-1/16X1,0,0,"3.34000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","4.13"" L x 3.06"" W x 1.00"" H (104.9mm x 77.7mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,-,37116-ND,37116,Desco,BOX OPEN BIN 24-3/4X2-1/4X4-1/2,0,0,"3.37000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","24.75"" L x 2.25"" W x 4.50"" H (628.7mm x 57.2mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37100.pdf,-,37108-ND,37108,Desco,BOX OPEN BIN 18X6X4-1/2,0,0,"3.38000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","18.00"" L x 6.00"" W x 4.50"" H (457.2mm x 152.4mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/39508.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_39508.jpg,39536-ND,39536,Desco,SHPPR BKFM 3-7/16X2-1/8X1,0,0,"3.41705","0","176","Protektive Pak®","Active","Box","Storage, Transport","3.44"" L x 2.13"" W x 1.00"" H (87.4mm x 54.1mm x 25.4mm)","Corrugated Fiberboard","Conductive, Dissipative Foam Insert"
http://documents.protektivepak.com/PDF/37100.pdf,-,37104-ND,37104,Desco,BOX OPEN BIN 12X6X4-1/2,0,0,"3.43000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","12.00"" L x 6.00"" W x 4.50"" H (304.8mm x 152.4mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37100.pdf,-,37112-ND,37112,Desco,BOX OPEN BIN 24-3/4X6-1/4X4-1/2,0,0,"3.50000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","24.75"" L x 6.25"" W x 4.50"" H (628.7mm x 158.8mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37100.pdf,-,37105-ND,37105,Desco,BOX OPEN BIN 12X8X4-1/2,0,0,"3.59000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","12.00"" L x 8.00"" W x 4.50"" H (304.8mm x 203.2mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37100.pdf,-,37113-ND,37113,Desco,BOX OPEN BIN 24-3/4X8-1/4X4-1/2,0,0,"3.72000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","24.75"" L x 8.25"" W x 4.50"" H (628.7mm x 209.6mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37050.pdf,-,37080-ND,37080,Desco,SHIPPER CIRC BD 6-3/16X6X1-1/2,0,0,"3.76000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","6.19"" L x 6.00"" W x 1.50"" H (157.2mm x 152.4mm x 38.1mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37064-ND,37064,Desco,SHIPPR CIRBD 12-1/2X10-1/2X2-1/2,0,0,"3.87000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","12.50"" L x 10.50"" W x 2.50"" H (317.5mm x 266.7mm x 63.5mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37051-ND,37051,Desco,SHIPPER CIRC BD W/FOAM 4X4X2-1/8,0,0,"3.94000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","4.00"" L x 4.00"" W x 2.13"" H (101.6mm x 101.6mm x 54.0mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,-,37109-ND,37109,Desco,BOX OPEN BIN 18X8X4-1/2,0,0,"3.94000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","18.00"" L x 8.00"" W x 4.50"" H (457.2mm x 203.2mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37050.pdf,-,37082-ND,37082,Desco,SHIPPER CIRC BD BOX 7X7X1-1/2,0,0,"3.97000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","7.00"" L x 7.00"" W x 1.50"" H (177.8mm x 177.8mm x 38.1mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37000.pdf,"//media.digikey.com/photos/Desco%20Photos/MFG_3700(4,9).jpg",37009-ND,37009,Desco,SHIPPER ESD SMALL 4-3/8X4-3/8X1,0,0,"4.04000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","4.38"" L x 4.38"" W x 1.00"" H (111.3mm x 111.3mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,-,37106-ND,37106,Desco,BOX OPEN BIN 12X12X4-1/2,0,0,"4.09000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","12.00"" L x 12.00"" W x 4.50"" H (304.8mm x 304.8mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37050.pdf,-,37084-ND,37084,Desco,SHIPPER CIRC BD BOX 9X9X1-1/2,0,0,"4.42000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","9.00"" L x 9.00"" W x 1.50"" H (228.6mm x 228.6mm x 38.1mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
-,-,2079-3080-1-ND,3080-1,"Conductive Containers, Inc.",CORREC-PAK SHIPPER 7 X 5 X 1.5"",6,0,"4.43000","0","1","Correc Pak","Active","Card Carrier","Storage, Shipping","7.00"" L x 5.00"" W x 1.50"" H (177.8mm x 127.0mm x 38.1mm)","-","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37100.pdf,-,37110-ND,37110,Desco,BOX OPEN BIN 18X12X4-1/2,0,0,"4.52000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","18.00"" L x 12.00"" W x 4.50"" H (457.2mm x 304.8mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37050.pdf,-,37070-ND,37070,Desco,SHIPPR CIRBD 15-1/2X12-1/2X2-1/2,0,0,"4.56000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","15.50"" L x 12.50"" W x 2.50"" H (393.7mm x 317.5mm x 63.5mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,"//media.digikey.com/photos/Desco%20Photos/MFG_3708(1,5).jpg",37081-ND,37081,Desco,SHIPPER CIRC BD 6-3/16X6X1-1/2,0,0,"4.61000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","6.19"" L x 6.00"" W x 1.50"" H (157.2mm x 152.4mm x 38.1mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37590.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_37590.jpg,37590-ND,37590,Desco,BOX CLOSED BIN 12X4X4-1/2,0,0,"4.64000","0","1","Protektive Pak®","Active","Box","Storage","12.00"" L x 4.00"" W x 4.50"" H (304.8mm x 101.6mm x 114.3mm)","Corrugated Fiberboard","Conductive, Dissipative, Lid Included"
http://documents.protektivepak.com/PDF/37050.pdf,-,37055-ND,37055,Desco,SHIPPER CIRC BD W/FOAM 7X5X2-1/2,0,0,"4.69000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","7.00"" L x 5.00"" W x 2.50"" H (177.8mm x 127.0mm x 63.5mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37066-ND,37066,Desco,SHIPPER CIRC BD 14-7/8X6-5/8X2,0,0,"4.73000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","14.88"" L x 6.63"" W x 2.00"" H (377.8mm x 168.3mm x 50.8mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37074-ND,37074,Desco,SHIPPR CIRBD 18-7/8X17-5/8X1-3/4,0,0,"4.93680","0","250","Protektive Pak®","Active","Box","Storage, Shipping","18.88"" L x 17.63"" W x 1.75"" H (479.4mm x 447.7mm x 44.5mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37590.pdf,-,37593-ND,37593,Desco,BOX CLOSED BIN 18X4X4-1/2,0,0,"5.02000","0","1","Protektive Pak®","Active","Box","Storage","18.00"" L x 4.00"" W x 4.50"" H (457.2mm x 101.6mm x 114.3mm)","Corrugated Fiberboard","Conductive, Dissipative, Lid Included"
http://documents.protektivepak.com/PDF/37050.pdf,//media.digikey.com/Photos/Desco%20Photos/37083.jpg,37083-ND,37083,Desco,SHIPPER CIRC BD W/FOAM 7X7X1-1/2,0,0,"5.05000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","7.00"" L x 7.00"" W x 1.50"" H (177.8mm x 177.8mm x 38.1mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
-,-,2079-3090-2-ND,3090-2,"Conductive Containers, Inc.",CORREC-PAK SHIPPER 7 X 5 X 2.5"",14,0,"5.16000","0","1","Correc Pak","Active","Card Carrier","Storage, Shipping","7.00"" L x 5.00"" W x 2.50"" H (177.8mm x 127.0mm x 63.5mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-IC5055-ND,IC5055,"Conductive Containers, Inc.",CORSTAT IC SHIPPER 5-3/4 X 5-3/4,25,0,"5.39000","0","1","Corstat™","Active","Card Carrier","Shipping","5.75"" L x 5.75"" W x 0.94"" H (146.1mm x 146.1mm x 23.8mm)","-","Anti-Static, Conductive, Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37076-ND,37076,Desco,SHIPPR CIRBD 20-1/2X15-1/2X1-1/2,0,0,"5.41620","0","250","Protektive Pak®","Active","Box","Storage, Shipping","20.50"" L x 15.50"" W x 1.50"" H (520.7mm x 393.7mm x 38.1mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37068-ND,37068,Desco,SHIPPR CIRBD 15-1/2X12-1/2X1-1/2,0,0,"5.50000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","15.50"" L x 12.50"" W x 1.50"" H (393.7mm x 317.5mm x 38.1mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37072-ND,37072,Desco,SHIPPER CIRC BD 16X12-1/4X3-1/2,0,0,"5.50000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","16.00"" L x 12.25"" W x 3.50"" H (406.4mm x 311.2mm x 88.9mm)","Corrugated Fiberboard","Conductive, Dissipative, Hinged Lid"
-,-,2079-3180-3-ND,3180-3,"Conductive Containers, Inc.",CORREC-PAK SHIPPER 9 X 7.5 X 1.5,14,0,"5.53000","0","1","Correc Pak","Active","Card Carrier","Storage, Shipping","9.00"" L x 7.50"" W x 1.50"" H (228.6mm x 190.5mm x 38.1mm)","-","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37130.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_37130.jpg,37130-ND,37130,Desco,BOX BIN REEL/DIP TUBE 18X2X9,0,0,"5.64000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","18.00"" L x 2.00"" W x 9.00"" H (457.2mm x 50.8mm x 228.6mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37590.pdf,-,37595-ND,37595,Desco,BOX CLOSED BIN 24-3/4X4X4-1/2,0,0,"5.83000","0","1","Protektive Pak®","Active","Box","Storage","24.75"" L x 4.00"" W x 4.50"" H (457.2mm x 101.6mm x 114.3mm)","Corrugated Fiberboard","Conductive, Dissipative, Lid Included"
http://documents.protektivepak.com/PDF/37590.pdf,-,37596-ND,37596,Desco,BOX CLOSED BIN 24-3/4X6X4-1/2,0,0,"5.95000","0","1","Protektive Pak®","Active","Box","Storage","24.75"" L x 6.00"" W x 4.50"" H (457.2mm x 152.4mm x 114.3mm)","Corrugated Fiberboard","Conductive, Dissipative, Lid Included"
http://documents.protektivepak.com/PDF/37590.pdf,-,37591-ND,37591,Desco,BOX CLOSED BIN 12X6X4-1/2,0,0,"5.96000","0","1","Protektive Pak®","Active","Box","Storage","12.00"" L x 6.00"" W x 4.50"" H (304.8mm x 152.4mm x 114.3mm)","Corrugated Fiberboard","Conductive, Dissipative, Lid Included"
http://documents.desco.com/PDF/38840.pdf,-,38842-ND,38842,Desco,SHIPPER PLASTEK CIRCUIT BOARD,0,0,"5.98000","0","1","Protektive Pak Plastek™","Active","Card Carrier","Storage, Shipping","7.00"" L x 5.00"" W x 1.50"" H (177.8mm x 127.0mm x 38.1mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
http://documents.desco.com/PDF/38840.pdf,-,38845-ND,38845,Desco,SHIPPER PLASTEK CIRCUIT BOARD,0,0,"5.98000","0","1","Protektive Pak Plastek™","Active","Card Carrier","Storage, Shipping","7.00"" L x 5.00"" W x 2.50"" H (177.8mm x 127.0mm x 63.5mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
http://documents.protektivepak.com/PDF/39508.pdf,-,39550-ND,39550,Desco,SHPPR BKFM 7X3-1/2X1,0,0,"6.04860","0","50","Protektive Pak®","Active","Box","Storage, Transport","7.00"" L x 3.50"" W x 1.00"" H (177.8mm x 88.9mm x 25.4mm)","Corrugated Fiberboard","Conductive, Dissipative Foam Insert"
http://documents.protektivepak.com/PDF/37050.pdf,-,37059-ND,37059,Desco,SHIPPR CIRBD 10-1/12X8-1/2X1-1/2,0,0,"6.05000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","10.50"" L x 8.50"" W x 1.50"" H (266.7mm x 215.9mm x 38.1mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37590.pdf,-,37599-ND,37599,Desco,BOX CLOSED BIN 12X8X4-1/2,0,0,"6.06900","0","250","Protektive Pak®","Active","Box","Storage","12.00"" L x 8.00"" W x 4.50"" H (304.8mm x 203.2mm x 114.3mm)","Corrugated Fiberboard","Conductive, Dissipative, Lid Included"
http://documents.protektivepak.com/PDF/37100.pdf,-,37114-ND,37114,Desco,BOX OPEN BIN 24-3/4X12X4-1/2,0,0,"6.08000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","24.75"" L x 12.00"" W x 4.50"" H (628.7mm x 304.8mm x 114.3mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37050.pdf,-,37057-ND,37057,Desco,SHIPPER CIRC BD 9X7-1/2X2-1/2,0,0,"6.12000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","9.00"" L x 7.50"" W x 2.50"" H (228.6mm x 190.5mm x 63.5mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37130.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_37130.jpg,37132-ND,37132,Desco,BOX BIN REEL/DIP TUBE 18X4X9,0,0,"6.14000","0","1","Protektive Pak®","Active","Workstation Organizer","Storage","18.00"" L x 4.00"" W x 9.00"" H (457.2mm x 101.6mm x 228.6mm)","Corrugated Fiberboard","Conductive"
http://documents.protektivepak.com/PDF/37500.pdf,-,37509-ND,37509,Desco,STORAGE CONTAINER 17X9-7/8X2-1/2,0,0,"6.34000","0","1","Protektive Pak®","Active","Tote","Storage","17.00"" L x 9.88"" W x 2.5"" H (431.8mm x 250.8mm x 63.5mm)","Corrugated Fiberboard","Dissipative"
http://documents.protektivepak.com/PDF/37050.pdf,"//media.digikey.com/photos/Desco%20Photos/MFG_3708(1,5).jpg",37085-ND,37085,Desco,SHIPPER CIRC BD W/FOAM 9X9X1-1/2,0,0,"6.47000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","9.00"" L x 9.00"" W x 1.50"" H (228.6mm x 228.6mm x 38.1mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37061-ND,37061,Desco,SHIPPR CIR BD 10-1/2X8-1/2X2-1/2,0,0,"6.61000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","10.50"" L x 8.50"" W x 2.50"" H (266.7mm x 215.9mm x 63.5mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
-,-,06767-ND,06767,Desco,LABEL DSPNSNG BOX 2X2'',0,0,"6.63000","0","1","-","Active","Box","Label Dispensing","2.00"" L x 2.00"" W (50.8mm x 50.8mm)","-","-"
-,-,2079-3420-13-ND,3420-13,"Conductive Containers, Inc.",CORREC-PAK SHIPPER 14.875 X 6.62,24,0,"6.65000","0","1","Correc Pak","Active","Card Carrier","Storage, Shipping","14.88"" L x 6.63"" W x 2.00"" H (377.8mm x 168.3mm x 50.8mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-3190-4-ND,3190-4,"Conductive Containers, Inc.",CORREC-PAK SHIPPER 9 X 7.5 X 2.5,13,0,"6.65000","0","1","Correc Pak","Active","Card Carrier","Storage, Shipping","9.00"" L x 7.50"" W x 2.50"" H (228.6mm x 190.5mm x 63.5mm)","-","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37050.pdf,-,37067-ND,37067,Desco,SHIPPER CIRC BD 14-7/8X6-5/8X2,0,0,"6.74000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","14.88"" L x 6.63"" W x 2.00"" H (377.8mm x 168.3mm x 50.8mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
https://www.descoindustries.com/PDF/38840.pdf,-,16-38840-ND,38840,Desco,PLASTEK CIRCUIT BRD SHIPPER BOX,0,0,"6.78000","0","1","Plastek™","Active","Card Carrier","Storage, Shipping","6.19"" L x 6.00"" W x 1.50"" H (157.2mm x 152.4mm x 38.1mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
http://documents.protektivepak.com/PDF/37590.pdf,-,37597-ND,37597,Desco,BOX CLOSED BIN 24-3/4X8X4-1/2,0,0,"6.83400","0","250","Protektive Pak®","Active","Box","Storage","24.75"" L x 8.00"" W x 4.50"" H (457.2mm x 203.2mm x 114.3mm)","Corrugated Fiberboard","Conductive, Dissipative, Lid Included"
